Title,Flawlesss,Good,Poor,For sell,For buy,Category,Product model,Weight lb,Year,Space,Network,Color,Generation,Screen Size,Retina Display ,Memory,Hard Disk,Processor
iPod Touch 5 - 32GB - White,2800,,,FALSE,TRUE,iPod,Touch,1,,32GB,,White,5,,,,,
iPod Touch 5 - 32GB - Yellow,2800,,,FALSE,TRUE,iPod,Touch,1,,32GB,,Yellow,5,,,,,
iPod Touch 5 - 32GB - Blue,2800,,,FALSE,TRUE,iPod,Touch,1,,32GB,,Blue,5,,,,,
iPod Touch 5 - 32GB - Pink,2800,,,FALSE,TRUE,iPod,Touch,1,,32GB,,Pink,5,,,,,
iPod Touch 5 - 32GB - Red,2800,,,FALSE,TRUE,iPod,Touch,1,,32GB,,Red,5,,,,,
iPod Touch 5 - 64GB - Slate,3700,,,FALSE,TRUE,iPod,Touch,1,,64GB,,Slate,5,,,,,
iPod Touch 5 - 64GB - Silver,3700,,,FALSE,TRUE,iPod,Touch,1,,64GB,,Silver,5,,,,,
iPod Touch 5 - 64GB - Black,3700,,,FALSE,TRUE,iPod,Touch,1,,64GB,,Black,5,,,,,
iPod Touch 5 - 64GB - White,3700,,,FALSE,TRUE,iPod,Touch,1,,64GB,,White,5,,,,,
iPod Touch 5 - 64GB - Yellow,3700,,,FALSE,TRUE,iPod,Touch,1,,64GB,,Yellow,5,,,,,
iPod Touch 5 - 64GB - Blue,3700,,,FALSE,TRUE,iPod,Touch,1,,64GB,,Blue,5,,,,,
iPod Touch 5 - 64GB - Pink,3700,,,FALSE,TRUE,iPod,Touch,1,,64GB,,Pink,5,,,,,
iPod Touch 5 - 64GB - Red,3700,,,FALSE,TRUE,iPod,Touch,1,,64GB,,Red,5,,,,,
,,,,,,,,,,,,,,,,,,
iPod Classic - 160GB - Silver,2200,,,FALSE,TRUE,iPod,Classic,1,,160GB,,Silver,Late 2009,,,,,
iPod Classic - 160GB - Black,2200,,,FALSE,TRUE,iPod,Classic,1,,160GB,,Black,Late 2009,,,,,
,,,,,,,,,,,,,,,,,,
iPhone 5 Unlocked 64GB White,8200,,,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,Factory Unlocked,White,,,,,,
iPhone 5 Unlocked 64GB Black,8000,,,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,Factory Unlocked,Black,,,,,,
iPhone 5 Unlocked 32GB White,7200,,,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,Factory Unlocked,White,,,,,,
iPhone 5 Unlocked 32GB Black,7000,,,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,Factory Unlocked,Black,,,,,,
iPhone 5 Unlocked 16GB  White,6200,,,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,Factory Unlocked,White,,,,,,
iPhone 5 Unlocked 16GB  Black,6000,,,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,Factory Unlocked,Black,,,,,,
iPhone 5 Sprint 64GB White,5500,,,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,Sprint,White,,,,,,
iPhone 5 Sprint 64GB Black,5000,,,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,Sprint,Black,,,,,,
iPhone 5 Sprint 32GB  White,4700,,,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,Sprint,White,,,,,,
iPhone 5 Sprint 32GB  Black,4500,,,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,Sprint,Black,,,,,,
iPhone 5 Sprint 16GB White,4200,,,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,Sprint,White,,,,,,
iPhone 5 Sprint 16GB Black,4000,,,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,Sprint,Black,,,,,,
iPhone 5 AT&T 64GB White,6500,,,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,AT&T,White,,,,,,
iPhone 5 AT&T 64GB Black,6200,,,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,AT&T,Black,,,,,,
iPhone 5 AT&T 32GB White,5500,,,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,AT&T,White,,,,,,
iPhone 5 AT&T 32GB Black,5300,,,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,AT&T,Black,,,,,,
iPhone 5 AT&T 16GB  White,5000,,,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,AT&T,White,,,,,,
iPhone 5 AT&T 16GB  Black,4700,,,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,AT&T,Black,,,,,,
iPhone 5 Verizon 64GB White,6300,,,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,Verizon,White,,,,,,
iPhone 5 Verizon 64GB Black,6000,,,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,Verizon,Black,,,,,,
iPhone 5 Verizon 32GB White,5700,,,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,Verizon,White,,,,,,
iPhone 5 Verizon 32GB Black,5400,,,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,Verizon,Black,,,,,,
iPhone 5 Verizon 16GB  White,5000,,,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,Verizon,White,,,,,,
iPhone 5 Verizon 16GB  Black,4700,,,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,Verizon,Black,,,,,,
,,,,,,,,,,,,,,,,,,
iPad 4 - 4G LTE Verizon 64GB White,8100,,,FALSE,TRUE,iPad,iPad 4,1,,64GB,4G LTE - Verizon,White,,,,,,
iPad 4 - 4G LTE Verizon 64GB Black,7900,,,FALSE,TRUE,iPad,iPad 4,1,,64GB,4G LTE - Verizon,Black,,,,,,
iPad 4 - 4G LTE Verizon 32GB White,7000,,,FALSE,TRUE,iPad,iPad 4,1,,32GB,4G LTE - Verizon,White,,,,,,
iPad 4 - 4G LTE Verizon 32GB Black,6800,,,FALSE,TRUE,iPad,iPad 4,1,,32GB,4G LTE - Verizon,Black,,,,,,
iPad 4 - 4G LTE Verizon 16GB White,6000,,,FALSE,TRUE,iPad,iPad 4,1,,16GB,4G LTE - Verizon,White,,,,,,
iPad 4 - 4G LTE Verizon 16GB Black,5800,,,FALSE,TRUE,iPad,iPad 4,1,,16GB,4G LTE - Verizon,Black,,,,,,
iPad 4 - 4G LTE - Sprint - 64GB White,8100,,,FALSE,TRUE,iPad,iPad 4,1,,64GB,4G LTE - Sprint,White,,,,,,
iPad 4 - 4G LTE - Sprint - 64GB Black,7900,,,FALSE,TRUE,iPad,iPad 4,1,,64GB,4G LTE - Sprint,Black,,,,,,
iPad 4 - 4G LTE - Sprint - 32GB White,7000,,,FALSE,TRUE,iPad,iPad 4,1,,32GB,4G LTE - Sprint,White,,,,,,
iPad 4 - 4G LTE - Sprint - 32GB Black,6800,,,FALSE,TRUE,iPad,iPad 4,1,,32GB,4G LTE - Sprint,Black,,,,,,
iPad 4 - 4G LTE - Sprint - 16GB White,6000,,,FALSE,TRUE,iPad,iPad 4,1,,16GB,4G LTE - Sprint,White,,,,,,
iPad 4 - 4G LTE - Sprint - 16GB Black,5800,,,FALSE,TRUE,iPad,iPad 4,1,,16GB,4G LTE - Sprint,Black,,,,,,
iPad 4 - 4G LTE AT&T 64GB White,8100,,,FALSE,TRUE,iPad,iPad 4,1,,64GB,4G LTE - AT&T,White,,,,,,
iPad 4 - 4G LTE AT&T 64GB Black,7900,,,FALSE,TRUE,iPad,iPad 4,1,,64GB,4G LTE - AT&T,Black,,,,,,
iPad 4 - 4G LTE AT&T 32GB White,7000,,,FALSE,TRUE,iPad,iPad 4,1,,32GB,4G LTE - AT&T,White,,,,,,
iPad 4 - 4G LTE AT&T 32GB Black,6800,,,FALSE,TRUE,iPad,iPad 4,1,,32GB,4G LTE - AT&T,Black,,,,,,
iPad 4 - 4G LTE AT&T 16GB White,6000,,,FALSE,TRUE,iPad,iPad 4,1,,16GB,4G LTE - AT&T,White,,,,,,
iPad 4 - 4G LTE AT&T 16GB Black,5800,,,FALSE,TRUE,iPad,iPad 4,1,,16GB,4G LTE - AT&T,Black,,,,,,
iPad 4 WiFi Only 64GB White,6700,,,FALSE,TRUE,iPad,iPad 4,1,,64GB,WiFi Only,White,,,,,,
iPad 4 WiFi Only 64GB Black,6500,,,FALSE,TRUE,iPad,iPad 4,1,,64GB,WiFi Only,Black,,,,,,
iPad 4 WiFi Only 32GB White,5800,,,FALSE,TRUE,iPad,iPad 4,1,,32GB,WiFi Only,White,,,,,,
iPad 4 WiFi Only 32GB Black,5600,,,FALSE,TRUE,iPad,iPad 4,1,,32GB,WiFi Only,Black,,,,,,
iPad 4 WiFi Only 16GB White,4700,,,FALSE,TRUE,iPad,iPad 4,1,,16GB,WiFi Only,White,,,,,,
iPad 4 WiFi Only 16GB Black,4500,,,FALSE,TRUE,iPad,iPad 4,1,,16GB,WiFi Only,Black,,,,,,
,,,,,,,,,,,,,,,,,,
Mini - 4G LTE Verizon 64GB White,6400,,,FALSE,TRUE,iPad,Mini,1,,64GB,4G LTE - Verizon,White,,,,,,
Mini - 4G LTE Verizon 64GB Black,6200,,,FALSE,TRUE,iPad,Mini,1,,64GB,4G LTE - Verizon,Black,,,,,,
Mini - 4G LTE Verizon 32GB White,5400,,,FALSE,TRUE,iPad,Mini,1,,32GB,4G LTE - Verizon,White,,,,,,
Mini - 4G LTE Verizon 32GB Black,5300,,,FALSE,TRUE,iPad,Mini,1,,32GB,4G LTE - Verizon,Black,,,,,,
Mini - 4G LTE Verizon 16GB White,4300,,,FALSE,TRUE,iPad,Mini,1,,16GB,4G LTE - Verizon,White,,,,,,
Mini - 4G LTE Verizon 16GB Black,4100,,,FALSE,TRUE,iPad,Mini,1,,16GB,4G LTE - Verizon,Black,,,,,,
Mini - 4G LTE - Sprint - 64GB White,6400,,,FALSE,TRUE,iPad,Mini,1,,64GB,4G LTE - Sprint,White,,,,,,
Mini - 4G LTE - Sprint - 64GB Black,6200,,,FALSE,TRUE,iPad,Mini,1,,64GB,4G LTE - Sprint,Black,,,,,,
Mini - 4G LTE - Sprint - 32GB White,5400,,,FALSE,TRUE,iPad,Mini,1,,32GB,4G LTE - Sprint,White,,,,,,
Mini - 4G LTE - Sprint - 32GB Black,5300,,,FALSE,TRUE,iPad,Mini,1,,32GB,4G LTE - Sprint,Black,,,,,,
Mini - 4G LTE - Sprint - 16GB White,4300,,,FALSE,TRUE,iPad,Mini,1,,16GB,4G LTE - Sprint,White,,,,,,
Mini - 4G LTE - Sprint - 16GB Black,4100,,,FALSE,TRUE,iPad,Mini,1,,16GB,4G LTE - Sprint,Black,,,,,,
Mini - 4G LTE AT&T 64GB White,6400,,,FALSE,TRUE,iPad,Mini,1,,64GB,4G LTE - AT&T,White,,,,,,
Mini - 4G LTE AT&T 64GB Black,6200,,,FALSE,TRUE,iPad,Mini,1,,64GB,4G LTE - AT&T,Black,,,,,,
Mini - 4G LTE AT&T 32GB White,5400,,,FALSE,TRUE,iPad,Mini,1,,32GB,4G LTE - AT&T,White,,,,,,
Mini - 4G LTE AT&T 32GB Black,5300,,,FALSE,TRUE,iPad,Mini,1,,32GB,4G LTE - AT&T,Black,,,,,,
Mini - 4G LTE AT&T 16GB White,4300,,,FALSE,TRUE,iPad,Mini,1,,16GB,4G LTE - AT&T,White,,,,,,
Mini - 4G LTE AT&T 16GB Black,4100,,,FALSE,TRUE,iPad,Mini,1,,16GB,4G LTE - AT&T,Black,,,,,,
Mini WiFi Only 64GB White,5000,,,FALSE,TRUE,iPad,Mini,1,,64GB,WiFi Only,White,,,,,,
Mini WiFi Only 64GB Black,4800,,,FALSE,TRUE,iPad,Mini,1,,64GB,WiFi Only,Black,,,,,,
Mini WiFi Only 32GB White,4100,,,FALSE,TRUE,iPad,Mini,1,,32GB,WiFi Only,White,,,,,,
Mini WiFi Only 32GB Black,3900,,,FALSE,TRUE,iPad,Mini,1,,32GB,WiFi Only,Black,,,,,,
Mini WiFi Only 16GB White,3100,,,FALSE,TRUE,iPad,Mini,1,,16GB,WiFi Only,White,,,,,,
Mini WiFi Only 16GB Black,3000,,,FALSE,TRUE,iPad,Mini,1,,16GB,WiFi Only,Black,,,,,,
,,,,,,,,,,,,,,,,,,
Galaxy Note II Unlocked 32GB White,7000,,,FALSE,TRUE,Galaxy,Note II,1,,32GB,Factory Unlocked,White,,,,,,
Galaxy Note II Unlocked 16GB White,6800,,,FALSE,TRUE,Galaxy,Note II,1,,16GB,Factory Unlocked,White,,,,,,
Galaxy Note II - Sprint - 16GB White,4500,,,FALSE,TRUE,Galaxy,Note II,1,,16GB,Sprint,White,,,,,,
Galaxy Note II - T-Mobile - 16GB White,4500,,,FALSE,TRUE,Galaxy,Note II,1,,16GB,T-Mobile,White,,,,,,
Galaxy Note II AT&T 16GB White,4500,,,FALSE,TRUE,Galaxy,Note II,1,,16GB,AT&T,White,,,,,,
Galaxy Note II - T-Mobile - 16GB White,4500,,,FALSE,TRUE,Galaxy,Note II,1,,16GB,T-Mobile,White,,,,,,
Galaxy Note II - Sprint - 16GB Gray,4500,,,FALSE,TRUE,Galaxy,Note II,1,,16GB,Sprint,Gray,,,,,,
Galaxy Note II - T-Mobile - 16GB Gray,4500,,,FALSE,TRUE,Galaxy,Note II,1,,16GB,T-Mobile,Gray,,,,,,
Galaxy Note II AT&T 16GB Gray,4500,,,FALSE,TRUE,Galaxy,Note II,1,,16GB,AT&T,Gray,,,,,,
Galaxy Note II - T-Mobile - 16GB Gray,4500,,,FALSE,TRUE,Galaxy,Note II,1,,16GB,T-Mobile,Gray,,,,,,
,,,,,,,,,,,,,,,,,,
Galaxy S3 Unlocked - 32GB Black,5500,,,FALSE,TRUE,Galaxy,S III,1,,32GB,Factory Unlocked,Black,,,,,,
Galaxy S3 Unlocked - 32GB White,5700,,,FALSE,TRUE,Galaxy,S III,1,,32GB,Factory Unlocked,Brown,,,,,,
Galaxy S3 Unlocked - 32GB Red,5700,,,FALSE,TRUE,Galaxy,S III,1,,32GB,Factory Unlocked,Red,,,,,,
Galaxy S3 Unlocked - 16GB  White,5000,,,FALSE,TRUE,Galaxy,S III,1,,16GB,Factory Unlocked,White,,,,,,
Galaxy S3 Unlocked - 16GB  Black,4800,,,FALSE,TRUE,Galaxy,S III,1,,16GB,Factory Unlocked,Black,,,,,,
Galaxy S3 Unlocked - 16GB  Red,5000,,,FALSE,TRUE,Galaxy,S III,1,,16GB,Factory Unlocked,Red,,,,,,
Galaxy S3 Sprint - 32GB White,4300,,,FALSE,TRUE,Galaxy,S III,1,,32GB,Sprint,White,,,,,,
Galaxy S3 Sprint - 32GB Black,4000,,,FALSE,TRUE,Galaxy,S III,1,,32GB,Sprint,Black,,,,,,
Galaxy S3 Sprint - 32GB Red,4300,,,FALSE,TRUE,Galaxy,S III,1,,32GB,Sprint,Red,,,,,,
Galaxy S3 Sprint - 16GB White,3800,,,FALSE,TRUE,Galaxy,S III,1,,16GB,Sprint,White,,,,,,
Galaxy S3 Sprint - 16GB Black,3600,,,FALSE,TRUE,Galaxy,S III,1,,16GB,Sprint,Black,,,,,,
Galaxy S3 Sprint - 16GB Red,3800,,,FALSE,TRUE,Galaxy,S III,1,,16GB,Sprint,Red,,,,,,
Galaxy S3 T-Mobile - 32GB White,4200,,,FALSE,TRUE,Galaxy,S III,1,,32GB,T-Mobile,White,,,,,,
Galaxy S3 T-Mobile - 32GB Black,4000,,,FALSE,TRUE,Galaxy,S III,1,,32GB,T-Mobile,Black,,,,,,
Galaxy S3 T-Mobile - 32GB Red,4000,,,FALSE,TRUE,Galaxy,S III,1,,32GB,T-Mobile,Red,,,,,,
Galaxy S3 T-Mobile - 16GB White,3700,,,FALSE,TRUE,Galaxy,S III,1,,16GB,T-Mobile,White,,,,,,
Galaxy S3 T-Mobile - 16GB Black,3500,,,FALSE,TRUE,Galaxy,S III,1,,16GB,T-Mobile,Black,,,,,,
Galaxy S3 T-Mobile - 16GB Red,3700,,,FALSE,TRUE,Galaxy,S III,1,,16GB,T-Mobile,Red,,,,,,
Galaxy S3 AT&T - 32GB White,4400,,,FALSE,TRUE,Galaxy,S III,1,,32GB,AT&T,White,,,,,,
Galaxy S3 AT&T - 32GB Black,4000,,,FALSE,TRUE,Galaxy,S III,1,,32GB,AT&T,Black,,,,,,
Galaxy S3 AT&T - 32GB Red,4400,,,FALSE,TRUE,Galaxy,S III,1,,32GB,AT&T,Red,,,,,,
Galaxy S3 AT&T - 16GB White,3800,,,FALSE,TRUE,Galaxy,S III,1,,16GB,AT&T,White,,,,,,
Galaxy S3 AT&T - 16GB Black,3600,,,FALSE,TRUE,Galaxy,S III,1,,16GB,AT&T,Black,,,,,,
Galaxy S3 AT&T - 16GB Red,3800,,,FALSE,TRUE,Galaxy,S III,1,,16GB,AT&T,Red,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
All items for selling,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Mac Pro Late2012 Retina13' 2.5 i5 8G Ram 256 Flash,"15,000",,,TRUE,FALSE,Macbook,Macbook Pro,1,Late2012,,,,,13,TRUE,8GB,256 Flash,2.5 i5
Mac Pro Late2012 Retina13' 2.5 i5 8G Ram 128 Flash,"13,000",,,TRUE,FALSE,Macbook,Macbook Pro,1,Late2012,,,,,13,TRUE,8GB,128 Flash,2.5 i5
Mac Pro Mid2012 13' 2.5 i5 4G Ram 500GB,"10,000",,,TRUE,FALSE,Macbook,Macbook Pro,1,Mid2012,,,,,13,,4GB,500GB,2.5 i5
Mac Pro Mid2012 13' 2.9 i7 4G Ram 750GB,"14,000",,,TRUE,FALSE,Macbook,Macbook Pro,1,Mid2012,,,,,13,,4GB,750GB,2.9 i7
Mac Pro Late2011 13' 2.8 i7 4GB Ram 750GB,"9,500",,,TRUE,FALSE,Macbook,Macbook Pro,1,Late2011,,,,,13,,4GB,750GB,2.8 i7
Mac ProLate2011 13' 2.4 i5 4GB Ram 500GB,"7,000",,,TRUE,FALSE,Macbook,Macbook Pro,1,Late2011,,,,,13,,4GB,500GB,2.4 i5
Mac Pro Early2011 13' 2.7 i7 4GB Ram 500GB,"6,500",,,TRUE,FALSE,Macbook,Macbook Pro,1,Early2011,,,,,13,,4GB,500GB,2.7 i7
Mac Pro Early2011 13' 2.3 i5 4GB Ram 320GB,"5,500",,,TRUE,FALSE,Macbook,Macbook Pro,1,Early2011,,,,,13,,4GB,320GB,2.3 i5
Mac Pro Mid2011 13' 2.66 4GB Ram 500GB,"7,500",,,TRUE,FALSE,Macbook,Macbook Pro,1,Mid2011,,,,,13,,4GB,500GB,2.66
Mac Pro Mid2011 13' 2.4 4GB Ram 250GB,"4,000",,,TRUE,FALSE,Macbook,Macbook Pro,1,Mid2011,,,,,13,,4GB,250GB,2.4
,,,,,,,,,,,,,,,,,,
Mac Pro Mid2012 Retina 2.3Q i7 8G Ram 256 Flash,"19,000",,,TRUE,FALSE,Macbook,Macbook Pro,1,Mid2012,,,,,15,TRUE,8GB,256 Flash,2.3 Quad-core i7
Mac Pro Mid2012 Retina 2.6Q i7 8G Ram 512 Flash,"25,000",,,TRUE,FALSE,Macbook,Macbook Pro,1,Mid2012,,,,,15,TRUE,8GB,512 Flash,2.6 Quad-core i7
Mac Pro Mid2012 15' 2.3Q i7 4G Ram 500GB,"15,000",,,TRUE,FALSE,Macbook,Macbook Pro,1,Mid2012,,,,,15,,4GB,500GB,2.3 Quad-core i7
Mac Pro Mid2012 15' 2.6Q i7 4G Ram 750GB,"20,000",,,TRUE,FALSE,Macbook,Macbook Pro,1,Mid2012,,,,,15,,4GB,750GB,2.6 Quad-core i7
MacPro Late2011 15' 2.4 Quad Core i7 4GB 750GB,"12,000",,,TRUE,FALSE,Macbook,Macbook Pro,1,Late2011,,,,,13,,4GB,750GB,2.4 Quad-core i7
MacPro Late2011 15' 2.2 Quad Core i7 4GB 500GB,"8,000",,,TRUE,FALSE,Macbook,Macbook Pro,1,Late2011,,,,,15,,4GB,500GB,2.2 Quad-core i7
MacPro Early2011 15' 2.2 Quad Core i7 4GB 750GB,"9,500",,,TRUE,FALSE,Macbook,Macbook Pro,1,Early2011,,,,,15,,4GB,750GB,2.2 Quad-core i7
MacPro Early2011 15' 2.0 Quad Core i7 4GB 500GBæ,"9,000",,,TRUE,FALSE,Macbook,Macbook Pro,1,Early2011,,,,,15,,4GB,500GB,2.0 Quad-core i7
MacPro Mid2010 15' 2.66 i7 4GB 500GB,"8,500",,,TRUE,FALSE,Macbook,Macbook Pro,1,Mid2010,,,,,15,,4GB,500GB,2.66 i7
MacPro Mid2010 15' 2.53 i5 4GB 500GB,"6,000",,,TRUE,FALSE,Macbook,Macbook Pro,1,Mid2010,,,,,15,,4GB,500GB,2.53 i5
MacPro Mid2010 15' 2.4 i5 4GB 500GB,"6,000",,,TRUE,FALSE,Macbook,Macbook Pro,1,Mid2010,,,,,15,,4GB,500GB,2.4 i5
,,,,,,,,,,,,,,,,,,
MacPro Late2011 17' 2.4Q 4GB 750GB,"16,000",,,TRUE,FALSE,Macbook,Macbook Pro,1,Late2011,,,,,17,,4GB,750GB,2.4 Quad-core
MacPro Early2011 17' 2.2Q i7 4GB 750GB,"14,000",,,TRUE,FALSE,Macbook,Macbook Pro,1,Early2011,,,,,17,,4GB,750GB,2.2 Quad-core i7
MacPro Mid2010 17' 2.53 i5 4GB 500GB,"12,000",,,TRUE,FALSE,Macbook,Macbook Pro,1,Mid2010,,,,,17,,4GB,500GB,2.53 Quad-core i5
,,,,,,,,,,,,,,,,,,
Macbook Air,300,,,TRUE,FALSE,Macbook,Macbook Air,1,2012,,,,,,,,,
Macbook Air,300,,,TRUE,FALSE,Macbook,Macbook Air,1,2011,,,,,,,,,
Macbook Air,300,,,TRUE,FALSE,Macbook,Macbook Air,1,2010,,,,,,,,,
Macbook Pro ,300,,,TRUE,FALSE,Macbook,Macbook Pro,1,2012,,,,,,,,,
Macbook Pro ,300,,,TRUE,FALSE,Macbook,Macbook Pro,1,2011,,,,,,,,,
Macbook Pro ,300,,,TRUE,FALSE,Macbook,Macbook Pro,1,2010,,,,,,,,,
,,,,,,,,,,,,,,,,,,
iPod Classic 7 - 160GB,1500,1300,1000,TRUE,FALSE,iPod,Classic,1,,160GB,,,7,,,,,
iPod Classic 6 - 160GB,1000,800,600,TRUE,FALSE,iPod,Classic,1,,160GB,,,6,,,,,
iPod Classic 6 - 120GB,800,600,500,TRUE,FALSE,iPod,Classic,1,,120GB,,,6,,,,,
iPod Classic 6 - 80GB,700,500,400,TRUE,FALSE,iPod,Classic,1,,80GB,,,6,,,,,
iPod Classic 5 - 80GB,600,450,350,TRUE,FALSE,iPod,Classic,1,,80GB,,,5,,,,,
iPod Classic 5 - 60GB,500,400,300,TRUE,FALSE,iPod,Classic,1,,60GB,,,5,,,,,
iPod Classic 5 - 30GB,400,280,250,TRUE,FALSE,iPod,Classic,1,,30GB,,,5,,,,,
iPod Nano 7 - 16GB,1200,1000,900,TRUE,FALSE,iPod,Nano,1,,16GB,,,7,,,,,
iPod Nano 6 - 16GB,1000,900,500,TRUE,FALSE,iPod,Nano,1,,16GB,,,6,,,,,
iPod Nano 6 - 8GB,700,500,200,TRUE,FALSE,iPod,Nano,1,,8GB,,,6,,,,,
iPod Nano 5 - 16GB,600,400,190,TRUE,FALSE,iPod,Nano,1,,16GB,,,5,,,,,
iPod Nano 5 - 8GB,500,350,180,TRUE,FALSE,iPod,Nano,1,,8GB,,,5,,,,,
iPod Touch 5 - 64GB,3500,3300,1500,TRUE,FALSE,iPod,Touch,1,,64GB,,,5,,,,,
iPod Touch 5 - 32GB,2700,2500,1350,TRUE,FALSE,iPod,Touch,1,,32GB,,,5,,,,,
iPod Touch 4 - 64GB,2500,2300,1200,TRUE,FALSE,iPod,Touch,1,,64GB,,,4,,,,,
iPod Touch 4 - 32GB,1900,1500,700,TRUE,FALSE,iPod,Touch,1,,32GB,,,4,,,,,
iPod Touch 4 - 8GB,1000,800,400,TRUE,FALSE,iPod,Touch,1,,8GB,,,4,,,,,
iPod Touch 3 - 64GB,800,600,300,TRUE,FALSE,iPod,Touch,1,,64GB,,,3,,,,,
iPod Touch 3 - 32GB,700,550,250,TRUE,FALSE,iPod,Touch,1,,32GB,,,3,,,,,
