Title,Honey price,Using condition,For sell,For buy,Category,Product model,Weight lb,Year,Space,Network,Color,General,Screen Size,Retina Display ,Memory,Hard Disk,Processor
Mac Pro 2012 13' 2.6Q i7 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,,4GB,128 Flash,2.6 Quad-core i7
Mac Pro 2012 13' 2.6Q i7 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,,4GB,128 Flash,2.6 Quad-core i7
Mac Pro 2012 13' Retina Display 2.6Q i7 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,TRUE,4GB,128 Flash,2.6 Quad-core i7
Mac Pro 2012 13' Retina Display 2.6Q i7 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,TRUE,4GB,128 Flash,2.6 Quad-core i7
Mac Pro 2012 13' 2.3Q i7 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,,4GB,128 Flash,2.3 Quad-core i7
Mac Pro 2012 13' 2.3Q i7 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,,4GB,128 Flash,2.3 Quad-core i7
Mac Pro 2012 13' Retina Display 2.3Q i7 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,TRUE,4GB,128 Flash,2.3 Quad-core i7
Mac Pro 2012 13' Retina Display 2.3Q i7 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,TRUE,4GB,128 Flash,2.3 Quad-core i7
Mac Pro 2012 13' 2.2Q i7 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,,4GB,128 Flash,2.2 Quad-core i7
Mac Pro 2012 13' 2.2Q i7 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,,4GB,128 Flash,2.2 Quad-core i7
Mac Pro 2012 13' Retina Display 2.2Q i7 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,TRUE,4GB,128 Flash,2.2 Quad-core i7
Mac Pro 2012 13' Retina Display 2.2Q i7 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,TRUE,4GB,128 Flash,2.2 Quad-core i7
Mac Pro 2012 13' 2.5 i5 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,,4GB,128 Flash,2.9 i7
Mac Pro 2012 13' 2.5 i5 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,,4GB,128 Flash,2.9 i7
Mac Pro 2012 13' Retina Display 2.5 i5 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,TRUE,4GB,128 Flash,2.9 i7
Mac Pro 2012 13' Retina Display 2.5 i5 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,TRUE,4GB,128 Flash,2.9 i7
Mac Pro 2012 13' 2.5 i5 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,,4GB,128 Flash,2.5 i5
Mac Pro 2012 13' 2.5 i5 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,,4GB,128 Flash,2.5 i5
Mac Pro 2012 13' Retina Display 2.5 i5 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,15,TRUE,4GB,128 Flash,2.5 i5
Mac Pro 2012 13' Retina Display 2.5 i5 4G Ram 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,2012,,,,,13,TRUE,4GB,128 Flash,2.5 i5
Mac Air 2012 11' 1.7GHZ 256 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Air,1,2012,,,,,11,,,256 Flash,1.7GHZ
Mac Air 2012 11' 1.7GHZ 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Air,1,2012,,,,,11,,,128 Flash,1.7GHZ
Mac Air 2012 11' 1.7GHZ 64 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Air,1,2012,,,,,11,,,64 Flash,1.7GHZ
Mac Air 2012 11' 2.0GHZ 256 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Air,1,2012,,,,,11,,,256 Flash,2.0GHZ
Mac Air 2012 11' 2.0GHZ 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Air,1,2012,,,,,11,,,128 Flash,2.0GHZ
Mac Air 2012 11' 2.0GHZ 64 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Air,1,2012,,,,,11,,,64 Flash,2.0GHZ
Mac Air 2012 11' 1.8GHZ 256 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Air,1,2012,,,,,11,,,256 Flash,1.8GHZ
Mac Air 2012 11' 1.8GHZ 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Air,1,2012,,,,,11,,,128 Flash,1.8GHZ
Mac Air 2012 11' 1.8GHZ 64 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Air,1,2012,,,,,11,,,64 Flash,1.8GHZ
Mac Air 2012 13' 1.7GHZ 64 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Air,1,2012,,,,,13,,,256 Flash,1.7GHZ
Mac Air 2012 13' 1.7GHZ 64 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Air,1,2012,,,,,13,,,128 Flash,1.7GHZ
Mac Air 2012 13' 1.7GHZ 64 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Air,1,2012,,,,,13,,,64 Flash,1.7GHZ
Mac Air 2012 13' 2.0GHZ 256 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Air,1,2012,,,,,13,,,256 Flash,2.0GHZ
Mac Air 2012 13' 2.0GHZ 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Air,1,2012,,,,,13,,,128 Flash,2.0GHZ
Mac Air 2012 13' 2.0GHZ 64 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Air,1,2012,,,,,13,,,64 Flash,2.0GHZ
Mac Air 2012 13' 1.8GHZ 256 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Air,1,2012,,,,,13,,,256 Flash,1.8GHZ
Mac Air 2012 13' 1.8GHZ 128 Flash,100,Flawless,FALSE,TRUE,Macbook,Macbook Air,1,2012,,,,,13,,,128 Flash,1.8GHZ
Mac Air 2012 13' 1.8GHZ 64 Flash ,100,Flawless,FALSE,TRUE,Macbook,Macbook Air,1,2012,,,,,13,,,64 Flash,1.8GHZ
,,,,,,,,,,,,,,,,,
Mac Pro 17' Late 2011,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,Late 2011,,,,,,,,,
Mac Pro 17' Early 2011,100,Flawless,FALSE,TRUE,Macbook,Macbook Pro,1,Early 2011,,,,,,,,,
,,,,,,,,,,,,,,,,,
iPod Nano 7 - 16GB - Slate,100,Flawless,FALSE,TRUE,iPod,Nano,1,,16GB,,Slate,7,,,,,
iPod Nano 7 - 16GB - Silver,100,Flawless,FALSE,TRUE,iPod,Nano,1,,16GB,,Silver,7,,,,,
iPod Nano 7 - 16GB - Purple,100,Flawless,FALSE,TRUE,iPod,Nano,1,,16GB,,Purple,7,,,,,
iPod Nano 7 - 16GB - Pink,100,Flawless,FALSE,TRUE,iPod,Nano,1,,16GB,,Pink,7,,,,,
iPod Nano 7 - 16GB - Yellow,100,Flawless,FALSE,TRUE,iPod,Nano,1,,16GB,,Yellow,7,,,,,
iPod Nano 7 - 16GB - Green,100,Flawless,FALSE,TRUE,iPod,Nano,1,,16GB,,Green,7,,,,,
iPod Nano 7 - 16GB - Blue,100,Flawless,FALSE,TRUE,iPod,Nano,1,,16GB,,Blue,7,,,,,
,,,,,,,,,,,,,,,,,
iPod Touch 5 - 32GB - Slate,100,Flawless,FALSE,TRUE,iPod,Touch,1,,32GB,,Slate,5,,,,,
iPod Touch 5 - 32GB - Silver,100,Flawless,FALSE,TRUE,iPod,Touch,1,,32GB,,Silver,5,,,,,
iPod Touch 5 - 32GB - Black,100,Flawless,FALSE,TRUE,iPod,Touch,1,,32GB,,Black,5,,,,,
iPod Touch 5 - 32GB - White,100,Flawless,FALSE,TRUE,iPod,Touch,1,,32GB,,White,5,,,,,
iPod Touch 5 - 32GB - Yellow,100,Flawless,FALSE,TRUE,iPod,Touch,1,,32GB,,Yellow,5,,,,,
iPod Touch 5 - 32GB - Blue,100,Flawless,FALSE,TRUE,iPod,Touch,1,,32GB,,Blue,5,,,,,
iPod Touch 5 - 32GB - Pink,100,Flawless,FALSE,TRUE,iPod,Touch,1,,32GB,,Pink,5,,,,,
iPod Touch 5 - 32GB - Red,100,Flawless,FALSE,TRUE,iPod,Touch,1,,32GB,,Red,5,,,,,
iPod Touch 5 - 64GB - Slate,100,Flawless,FALSE,TRUE,iPod,Touch,1,,64GB,,Slate,5,,,,,
iPod Touch 5 - 64GB - Silver,100,Flawless,FALSE,TRUE,iPod,Touch,1,,64GB,,Silver,5,,,,,
iPod Touch 5 - 64GB - Black,100,Flawless,FALSE,TRUE,iPod,Touch,1,,64GB,,Black,5,,,,,
iPod Touch 5 - 64GB - White,100,Flawless,FALSE,TRUE,iPod,Touch,1,,64GB,,White,5,,,,,
iPod Touch 5 - 64GB - Yellow,100,Flawless,FALSE,TRUE,iPod,Touch,1,,64GB,,Yellow,5,,,,,
iPod Touch 5 - 64GB - Blue,100,Flawless,FALSE,TRUE,iPod,Touch,1,,64GB,,Blue,5,,,,,
iPod Touch 5 - 64GB - Pink,100,Flawless,FALSE,TRUE,iPod,Touch,1,,64GB,,Pink,5,,,,,
iPod Touch 5 - 64GB - Red,100,Flawless,FALSE,TRUE,iPod,Touch,1,,64GB,,Red,5,,,,,
,,,,,,,,,,,,,,,,,
iPod Touch 5 - 160GB - Silver,100,Flawless,FALSE,TRUE,iPod,Classic,1,,160GB,,Silver,Late 2009,,,,,
iPod Touch 5 - 160GB - Black,100,Flawless,FALSE,TRUE,iPod,Classic,1,,160GB,,Black,Late 2009,,,,,
,,,,,,,,,,,,,,,,,
iPhone 5 Unlocked 64GB White,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,Factory Unlocked,White,,,,,,
iPhone 5 Unlocked 64GB Black,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,Factory Unlocked,Black,,,,,,
iPhone 5 Unlocked 32GB White,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,Factory Unlocked,White,,,,,,
iPhone 5 Unlocked 32GB Black,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,Factory Unlocked,Black,,,,,,
iPhone 5 Unlocked 16GB  White,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,Factory Unlocked,White,,,,,,
iPhone 5 Unlocked 16GB  Black,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,Factory Unlocked,Black,,,,,,
iPhone 5 Sprint 64GB White,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,Sprint,White,,,,,,
iPhone 5 Sprint 64GB Black,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,Sprint,Black,,,,,,
iPhone 5 Sprint 32GB  White,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,Sprint,White,,,,,,
iPhone 5 Sprint 32GB  Black,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,Sprint,Black,,,,,,
iPhone 5 Sprint 16GB White,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,Sprint,White,,,,,,
iPhone 5 Sprint 16GB Black,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,Sprint,Black,,,,,,
iPhone 5 AT&T 64GB White,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,AT&T,White,,,,,,
iPhone 5 AT&T 64GB Black,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,AT&T,Black,,,,,,
iPhone 5 AT&T 32GB White,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,AT&T,White,,,,,,
iPhone 5 AT&T 32GB Black,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,AT&T,Black,,,,,,
iPhone 5 AT&T 16GB  White,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,AT&T,White,,,,,,
iPhone 5 AT&T 16GB  Black,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,AT&T,Black,,,,,,
iPhone 5 Verizon 64GB White,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,Verizon,White,,,,,,
iPhone 5 Verizon 64GB Black,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,Verizon,Black,,,,,,
iPhone 5 Verizon 32GB White,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,Verizon,White,,,,,,
iPhone 5 Verizon 32GB Black,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,Verizon,Black,,,,,,
iPhone 5 Verizon 16GB  White,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,Verizon,White,,,,,,
iPhone 5 Verizon 16GB  Black,100,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,Verizon,Black,,,,,,
,,,,,,,,,,,,,,,,,
iPad 4 - 4G LTE Verizon 64GB White,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,64GB,4G LTE - Verizon,White,,,,,,
iPad 4 - 4G LTE Verizon 64GB Black,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,64GB,4G LTE - Verizon,Black,,,,,,
iPad 4 - 4G LTE Verizon 32GB White,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,32GB,4G LTE - Verizon,White,,,,,,
iPad 4 - 4G LTE Verizon 32GB Black,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,32GB,4G LTE - Verizon,Black,,,,,,
iPad 4 - 4G LTE Verizon 16GB White,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,16GB,4G LTE - Verizon,White,,,,,,
iPad 4 - 4G LTE Verizon 16GB Black,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,16GB,4G LTE - Verizon,Black,,,,,,
iPad 4 - 4G LTE - Sprint - 64GB White,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,64GB,4G LTE - Sprint,White,,,,,,
iPad 4 - 4G LTE - Sprint - 64GB Black,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,64GB,4G LTE - Sprint,Black,,,,,,
iPad 4 - 4G LTE - Sprint - 32GB White,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,32GB,4G LTE - Sprint,White,,,,,,
iPad 4 - 4G LTE - Sprint - 32GB Black,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,32GB,4G LTE - Sprint,Black,,,,,,
iPad 4 - 4G LTE - Sprint - 16GB White,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,16GB,4G LTE - Sprint,White,,,,,,
iPad 4 - 4G LTE - Sprint - 16GB Black,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,16GB,4G LTE - Sprint,Black,,,,,,
iPad 4 - 4G LTE AT&T 64GB White,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,64GB,4G LTE - AT&T,White,,,,,,
iPad 4 - 4G LTE AT&T 64GB Black,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,64GB,4G LTE - AT&T,Black,,,,,,
iPad 4 - 4G LTE AT&T 32GB White,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,32GB,4G LTE - AT&T,White,,,,,,
iPad 4 - 4G LTE AT&T 32GB Black,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,32GB,4G LTE - AT&T,Black,,,,,,
iPad 4 - 4G LTE AT&T 16GB White,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,16GB,4G LTE - AT&T,White,,,,,,
iPad 4 - 4G LTE AT&T 16GB Black,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,16GB,4G LTE - AT&T,Black,,,,,,
iPad 4 WiFi Only 64GB White,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,64GB,WiFi Only,White,,,,,,
iPad 4 WiFi Only 64GB Black,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,64GB,WiFi Only,Black,,,,,,
iPad 4 WiFi Only 32GB White,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,32GB,WiFi Only,White,,,,,,
iPad 4 WiFi Only 32GB Black,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,32GB,WiFi Only,Black,,,,,,
iPad 4 WiFi Only 16GB White,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,16GB,WiFi Only,White,,,,,,
iPad 4 WiFi Only 16GB Black,100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,16GB,WiFi Only,Black,,,,,,
,,,,,,,,,,,,,,,,,
Mini - 4G LTE Verizon 32GB White,100,Flawless,FALSE,TRUE,iPad,Mini,1,,32GB,4G LTE - Verizon,White,,,,,,
Mini - 4G LTE Verizon 32GB Black,100,Flawless,FALSE,TRUE,iPad,Mini,1,,32GB,4G LTE - Verizon,Black,,,,,,
Mini - 4G LTE Verizon 16GB White,100,Flawless,FALSE,TRUE,iPad,Mini,1,,16GB,4G LTE - Verizon,White,,,,,,
Mini - 4G LTE Verizon 16GB Black,100,Flawless,FALSE,TRUE,iPad,Mini,1,,16GB,4G LTE - Verizon,Black,,,,,,
Mini - 4G LTE - Sprint - 64GB White,100,Flawless,FALSE,TRUE,iPad,Mini,1,,64GB,4G LTE - Sprint,White,,,,,,
Mini - 4G LTE - Sprint - 64GB Black,100,Flawless,FALSE,TRUE,iPad,Mini,1,,64GB,4G LTE - Sprint,Black,,,,,,
Mini - 4G LTE - Sprint - 32GB White,100,Flawless,FALSE,TRUE,iPad,Mini,1,,32GB,4G LTE - Sprint,White,,,,,,
Mini - 4G LTE - Sprint - 32GB Black,100,Flawless,FALSE,TRUE,iPad,Mini,1,,32GB,4G LTE - Sprint,Black,,,,,,
Mini - 4G LTE - Sprint - 16GB White,100,Flawless,FALSE,TRUE,iPad,Mini,1,,16GB,4G LTE - Sprint,White,,,,,,
Mini - 4G LTE - Sprint - 16GB Black,100,Flawless,FALSE,TRUE,iPad,Mini,1,,16GB,4G LTE - Sprint,Black,,,,,,
Mini - 4G LTE AT&T 64GB White,100,Flawless,FALSE,TRUE,iPad,Mini,1,,64GB,4G LTE - AT&T,White,,,,,,
Mini - 4G LTE AT&T 64GB Black,100,Flawless,FALSE,TRUE,iPad,Mini,1,,64GB,4G LTE - AT&T,Black,,,,,,
Mini - 4G LTE AT&T 32GB White,100,Flawless,FALSE,TRUE,iPad,Mini,1,,32GB,4G LTE - AT&T,White,,,,,,
Mini - 4G LTE AT&T 32GB Black,100,Flawless,FALSE,TRUE,iPad,Mini,1,,32GB,4G LTE - AT&T,Black,,,,,,
Mini - 4G LTE AT&T 16GB White,100,Flawless,FALSE,TRUE,iPad,Mini,1,,16GB,4G LTE - AT&T,White,,,,,,
Mini - 4G LTE AT&T 16GB Black,100,Flawless,FALSE,TRUE,iPad,Mini,1,,16GB,4G LTE - AT&T,Black,,,,,,
Mini WiFi Only 64GB White,100,Flawless,FALSE,TRUE,iPad,Mini,1,,64GB,WiFi Only,White,,,,,,
Mini WiFi Only 64GB Black,100,Flawless,FALSE,TRUE,iPad,Mini,1,,64GB,WiFi Only,Black,,,,,,
Mini WiFi Only 32GB White,100,Flawless,FALSE,TRUE,iPad,Mini,1,,32GB,WiFi Only,White,,,,,,
Mini WiFi Only 32GB Black,100,Flawless,FALSE,TRUE,iPad,Mini,1,,32GB,WiFi Only,Black,,,,,,
Mini WiFi Only 16GB White,100,Flawless,FALSE,TRUE,iPad,Mini,1,,16GB,WiFi Only,White,,,,,,
Mini WiFi Only 16GB Black,100,Flawless,FALSE,TRUE,iPad,Mini,1,,16GB,WiFi Only,Black,,,,,,
,,,,,,,,,,,,,,,,,
Galaxy - Note II - Unlocked - 32GB White,100,Flawless,FALSE,TRUE,Galaxy,Note II,1,,32GB,Factory Unlocked,White,,,,,,
Galaxy - Note II - Unlocked - 16GB White,100,Flawless,FALSE,TRUE,Galaxy,Note II,1,,16GB,Factory Unlocked,White,,,,,,
Galaxy - Note II - Sprint - 16GB White,100,Flawless,FALSE,TRUE,Galaxy,Note II,1,,16GB,Sprint,White,,,,,,
Galaxy - Note II - T-Mobile - 16GB White,100,Flawless,FALSE,TRUE,Galaxy,Note II,1,,16GB,T-Mobile,White,,,,,,
Galaxy - Note II AT&T 16GB White,100,Flawless,FALSE,TRUE,Galaxy,Note II,1,,16GB,AT&T,White,,,,,,
,,,,,,,,,,,,,,,,,
Galaxy S3 Unlocked - 32GB White,100,Flawless,FALSE,TRUE,Galaxy,S III,1,,32GB,Factory Unlocked,White,,,,,,
Galaxy S3 Unlocked - 32GB Black,100,Flawless,FALSE,TRUE,Galaxy,S III,1,,32GB,Factory Unlocked,Black,,,,,,
Galaxy S3 Unlocked - 32GB Brown,100,Flawless,FALSE,TRUE,Galaxy,S III,1,,32GB,Factory Unlocked,Brown,,,,,,
Galaxy S3 Unlocked - 32GB Red,100,Flawless,FALSE,TRUE,Galaxy,S III,1,,32GB,Factory Unlocked,Red,,,,,,
Galaxy S3 Unlocked - 16GB  White,100,Flawless,FALSE,TRUE,Galaxy,S III,1,,16GB,Factory Unlocked,White,,,,,,
Galaxy S3 Unlocked - 16GB  Black,100,Flawless,FALSE,TRUE,Galaxy,S III,1,,16GB,Factory Unlocked,Black,,,,,,
Galaxy S3 Unlocked - 16GB  Brown,100,Flawless,FALSE,TRUE,Galaxy,S III,1,,16GB,Factory Unlocked,Brown,,,,,,
Galaxy S3 Unlocked - 16GB  Red,100,Flawless,FALSE,TRUE,Galaxy,S III,1,,16GB,Factory Unlocked,Red,,,,,,
Galaxy S3 Sprint - 32GB White,100,Flawless,FALSE,TRUE,Galaxy,S III,1,,32GB,Sprint,White,,,,,,
Galaxy S3 Sprint - 32GB Black,100,Flawless,FALSE,TRUE,Galaxy,S III,1,,32GB,Sprint,Black,,,,,,
Galaxy S3 Sprint - 32GB Brown,100,Flawless,FALSE,TRUE,Galaxy,S III,1,,32GB,Sprint,Brown,,,,,,
Galaxy S3 Sprint - 32GB Red,100,Flawless,FALSE,TRUE,Galaxy,S III,1,,32GB,Sprint,Red,,,,,,
Galaxy S3 Sprint - 16GB White,100,Flawless,FALSE,TRUE,Galaxy,S III,1,,16GB,Sprint,White,,,,,,
Galaxy S3 Sprint - 16GB Black,100,Flawless,FALSE,TRUE,Galaxy,S III,1,,16GB,Sprint,Black,,,,,,
Galaxy S3 Sprint - 16GB Brown,100,Flawless,FALSE,TRUE,Galaxy,S III,1,,16GB,Sprint,Brown,,,,,,
Galaxy S3 Sprint - 16GB Red,100,Flawless,FALSE,TRUE,Galaxy,S III,1,,16GB,Sprint,Red,,,,,,
