Title,Flawless ,Good,Poor,Category,Product model,Weight lb,Year,Space,Network,Color,Generation,Screen Size,Retina Display ,Memory,Hard Disk,Processor
MacAir 11' Mid2012 1.7GHZ 4GB RAM 64 Flash,700,550,250,Macbook,Macbook Air,1,Mid2012,,,,,11,,4GB,64 Flash,1.7
MacAir 11' Mid2012 2.0GHZ 4GB RAM 128 Flash,800,600,300,Macbook,Macbook Air,1,Mid2012,,,,,11,,4GB,128 Flash,2
MacAir 13' Mid2011 1.7GHZ 4GB RAM 128 Flash,600,400,200,Macbook,Macbook Air,1,Mid2012,,,,,13,,4GB,128 Flash,1.7
MacAir 13' Mid2011 1.7GHZ 4GB RAM 256 Flash,650,460,230,Macbook,Macbook Air,1,Mid2011,,,,,13,,4GB,256 Flash,1.7
MacAir 11' Mid2011 1.6GHZ 2GB RAM 64 Flash,580,420,210,Macbook,Macbook Air,1,Mid2011,,,,,11,,4GB,64 Flash,1.6
MacAir 11' Mid2011 1.6GHZ 4GB RAM 128 Flash,620,450,225,Macbook,Macbook Air,1,Mid2011,,,,,11,,2GB,128 Flash,1.6
MacAir 13' Late2010 1.86GHZ 2GB RAM 128 Flash,500,375,175,Macbook,Macbook Air,1,Late2010,,,,,13,,4GB,128 Flash,1.86
MacAir 13' Late2010 1.86GHZ 2GB Ram 256 Flash,520,375,187.5,Macbook,Macbook Air,1,Late2010,,,,,13,,2GB,256 Flash,1.86
MacAir 11' Late2010 1.4GHZ 2GB RAM 64 Flash,450,300,150,Macbook,Macbook Air,1,Late2010,,,,,11,,2GB,64 Flash,1.4
MacAir 11' Late2010 1.4GHZ 2GB Ram 128 Flash,480,320,170,Macbook,Macbook Air,1,Late2010,,,,,11,,2GB,128 Flash,1.4
,,,,,,,,,,,,,,,,
iPod Classic 7 - 160GB,150,130,100,iPod,Classic,1,,160GB,,,7,,,,,
iPod Classic 6 - 160GB,100,80,60,iPod,Classic,1,,160GB,,,6,,,,,
iPod Classic 6 - 120GB,80,60,50,iPod,Classic,1,,120GB,,,6,,,,,
iPod Classic 6 - 80GB,70,50,40,iPod,Classic,1,,80GB,,,6,,,,,
iPod Classic 5 - 80GB,60,45,35,iPod,Classic,1,,80GB,,,5,,,,,
iPod Classic 5 - 60GB,50,40,30,iPod,Classic,1,,60GB,,,5,,,,,
iPod Classic 5 - 30GB,40,28,25,iPod,Classic,1,,30GB,,,5,,,,,
iPod Nano 7 - 16GB,120,100,90,iPod,Nano,1,,16GB,,,7,,,,,
iPod Nano 6 - 16GB,100,90,50,iPod,Nano,1,,16GB,,,6,,,,,
iPod Nano 6 - 8GB,70,50,20,iPod,Nano,1,,8GB,,,6,,,,,
iPod Nano 5 - 16GB,60,40,19,iPod,Nano,1,,16GB,,,5,,,,,
iPod Nano 5 - 8GB,50,35,18,iPod,Nano,1,,8GB,,,5,,,,,
iPod Touch 5 - 64GB,350,330,150,iPod,Touch,1,,64GB,,,5,,,,,
iPod Touch 5 - 32GB,270,250,135,iPod,Touch,1,,32GB,,,5,,,,,
iPod Touch 4 - 64GB,250,230,120,iPod,Touch,1,,64GB,,,4,,,,,
iPod Touch 4 - 32GB,190,150,70,iPod,Touch,1,,32GB,,,4,,,,,
iPod Touch 4 - 8GB,100,80,40,iPod,Touch,1,,8GB,,,4,,,,,
iPod Touch 3 - 64GB,80,60,30,iPod,Touch,1,,64GB,,,3,,,,,
iPod Touch 3 - 32GB,70,55,25,iPod,Touch,1,,32GB,,,3,,,,,
iPod Touch 2 - 8GB,50,30,10,iPod,Touch,1,,8GB,,,2,,,,,
,,,,,,,,,,,,,,,,
iPhone 5 Unlocked 64GB White,750,700,300,iPhone,iPhone 5,1,,64GB,Factory Unlocked,White,,,,,,
iPhone 5 Unlocked 64GB Black,730,680,280,iPhone,iPhone 5,1,,64GB,Factory Unlocked,Black,,,,,,
iPhone 5 Unlocked 32GB White,700,650,250,iPhone,iPhone 5,1,,32GB,Factory Unlocked,White,,,,,,
iPhone 5 Unlocked 32GB Black,680,640,220,iPhone,iPhone 5,1,,32GB,Factory Unlocked,Black,,,,,,
iPhone 5 Unlocked 16GB  White,600,550,200,iPhone,iPhone 5,1,,16GB,Factory Unlocked,White,,,,,,
iPhone 5 Unlocked 16GB  Black,580,530,180,iPhone,iPhone 5,1,,16GB,Factory Unlocked,Black,,,,,,
,,,,,,,,,,,,,,,,
iPhone 5 Sprint 64GB White,550,500,200,iPhone,iPhone 5,1,,64GB,Sprint,White,,,,,,
iPhone 5 Sprint 64GB Black,530,470,180,iPhone,iPhone 5,1,,64GB,Sprint,Black,,,,,,
iPhone 5 Sprint 32GB  White,500,450,150,iPhone,iPhone 5,1,,32GB,Sprint,White,,,,,,
iPhone 5 Sprint 32GB  Black,480,430,150,iPhone,iPhone 5,1,,32GB,Sprint,Black,,,,,,
iPhone 5 Sprint 16GB White,400,370,110,iPhone,iPhone 5,1,,16GB,Sprint,White,,,,,,
iPhone 5 Sprint 16GB Black,370,330,100,iPhone,iPhone 5,1,,16GB,Sprint,Black,,,,,,
,,,,,,,,,,,,,,,,
iPhone 5 Verizon 64GB White,550,500,200,iPhone,iPhone 5,1,,64GB,Verizon,White,,,,,,
iPhone 5 Verizon 64GB Black,530,470,180,iPhone,iPhone 5,1,,64GB,Verizon,Black,,,,,,
iPhone 5 Verizon 32GB White,500,450,150,iPhone,iPhone 5,1,,32GB,Verizon,White,,,,,,
iPhone 5 Verizon 32GB Black,480,430,150,iPhone,iPhone 5,1,,32GB,Verizon,Black,,,,,,
iPhone 5 Verizon 16GB  White,400,370,110,iPhone,iPhone 5,1,,16GB,Verizon,White,,,,,,
iPhone 5 Verizon 16GB  Black,370,330,100,iPhone,iPhone 5,1,,16GB,Verizon,Black,,,,,,
,,,,,,,,,,,,,,,,
iPhone 5 AT&T 64GB White,550,500,200,iPhone,iPhone 5,1,,64GB, AT&T,White,,,,,,
iPhone 5 AT&T 64GB Black,530,470,180,iPhone,iPhone 5,1,,64GB, AT&T,Black,,,,,,
iPhone 5 AT&T 32GB White,500,450,150,iPhone,iPhone 5,1,,32GB, AT&T,White,,,,,,
iPhone 5 AT&T 32GB Black,480,430,150,iPhone,iPhone 5,1,,32GB, AT&T,Black,,,,,,
iPhone 5 AT&T 16GB  White,400,370,110,iPhone,iPhone 5,1,,16GB, AT&T,White,,,,,,
iPhone 5 AT&T 16GB  Black,370,330,100,iPhone,iPhone 5,1,,16GB, AT&T,Black,,,,,,
,,,,,,,,,,,,,,,,
iPhone 4S Unlocked 64GB White,500,470,230,iPhone,iPhone 4S,1,,64GB,Factory Unlocked,,,,,,,
iPhone 4S Unlocked 64GB Black,470,430,200,iPhone,iPhone 4S,1,,64GB,Factory Unlocked,,,,,,,
iPhone 4S Unlocked 32GB White,450,410,190,iPhone,iPhone 4S,1,,32GB,Factory Unlocked,,,,,,,
iPhone 4S Unlocked 32GB Black,480,450,170,iPhone,iPhone 4S,1,,32GB,Factory Unlocked,,,,,,,
iPhone 4S Unlocked 16GB  White,400,350,150,iPhone,iPhone 4S,1,,16GB,Factory Unlocked,,,,,,,
iPhone 4S Unlocked 16GB  Black,370,330,120,iPhone,iPhone 4S,1,,16GB,Factory Unlocked,,,,,,,
,,,,,,,,,,,,,,,,
iPhone 4S - Sprint - 64GB White,400,360,150,iPhone,iPhone 4S,1,,64GB,Sprint,White,,,,,,
iPhone 4S - Sprint - 64GB Black,360,340,120,iPhone,iPhone 4S,1,,64GB,Sprint,Black,,,,,,
iPhone 4S - Sprint - 32GB  White,340,310,95,iPhone,iPhone 4S,1,,32GB,Sprint,White,,,,,,
iPhone 4S - Sprint - 32GB  Black,320,290,90,iPhone,iPhone 4S,1,,32GB,Sprint,Black,,,,,,
iPhone 4S - Sprint - 16GB White,300,270,75,iPhone,iPhone 4S,1,,16GB,Sprint,White,,,,,,
iPhone 4S - Sprint - 16GB Black,280,250,65,iPhone,iPhone 4S,1,,16GB,Sprint,Black,,,,,,
,,,,,,,,,,,,,,,,
iPhone 4S - Verizon - 64GB White,400,360,150,iPhone,iPhone 4S,1,,64GB,Verizon,White,,,,,,
iPhone 4S - Verizon - 64GB Black,360,340,120,iPhone,iPhone 4S,1,,64GB,Verizon,Black,,,,,,
iPhone 4S - Verizon - 32GB  White,340,310,95,iPhone,iPhone 4S,1,,32GB,Verizon,White,,,,,,
iPhone 4S - Verizon - 32GB  Black,320,290,85,iPhone,iPhone 4S,1,,32GB,Verizon,Black,,,,,,
iPhone 4S - Verizon - 16GB White,300,270,75,iPhone,iPhone 4S,1,,16GB,Verizon,White,,,,,,
iPhone 4S - Verizon - 16GB Black,280,250,65,iPhone,iPhone 4S,1,,16GB,Verizon,Black,,,,,,
,,,,,,,,,,,,,,,,
iPhone 4S AT&T 64GB White,400,360,150,iPhone,iPhone 4S,1,,64GB,AT&T,White,,,,,,
iPhone 4S AT&T 64GB Black,360,340,120,iPhone,iPhone 4S,1,,64GB,AT&T,Black,,,,,,
iPhone 4S AT&T 32GB White,340,310,95,iPhone,iPhone 4S,1,,32GB,AT&T,White,,,,,,
iPhone 4S AT&T 32GB Black,320,290,90,iPhone,iPhone 4S,1,,32GB,AT&T,Black,,,,,,
iPhone 4S AT&T 16GB  White,300,270,75,iPhone,iPhone 4S,1,,16GB,AT&T,White,,,,,,
iPhone 4S AT&T 16GB  Black,280,250,65,iPhone,iPhone 4S,1,,16GB,AT&T,Black,,,,,,
,,,,,,,,,,,,,,,,
iPhone 4 Unlocked - 32GB White,250,220,120,iPhone,iPhone 4,1,,32GB,Factory Unlocked,White,,,,,,
iPhone 4 Unlocked - 32GB Black,230,190,80,iPhone,iPhone 4,1,,32GB,Factory Unlocked,Black,,,,,,
iPhone 4 Unlocked - 16GB White,200,160,70,iPhone,iPhone 4,1,,16GB,Factory Unlocked,White,,,,,,
iPhone 4 Unlocked - 16GB Black,180,140,60,iPhone,iPhone 4,1,,16GB,Factory Unlocked,Black,,,,,,
iPhone 4 Unlocked - 8GB  White,150,100,50,iPhone,iPhone 4,1,,8GB,Factory Unlocked,White,,,,,,
iPhone 4 Unlocked - 8GB  Black,90,70,40,iPhone,iPhone 4,1,,8GB,Factory Unlocked,Black,,,,,,
,,,,,,,,,,,,,,,,
iPhone 4 Sprint - 8GB White,120,100,60,iPhone,iPhone 4,1,,8GB,Sprint,White,,,,,,
iPhone 4 Sprint - 8GB Black,100,65,30,iPhone,iPhone 4,1,,8GB,Sprint,Black,,,,,,
,,,,,,,,,,,,,,,,
iPhone 4 AT&T 32GB White,230,200,80,iPhone,iPhone 4,1,,32GB,AT&T,White,,,,,,
iPhone 4 AT&T 32GB Black,200,170,70,iPhone,iPhone 4,1,,32GB,AT&T,Black,,,,,,
iPhone 4 AT&T 16GB White,200,160,70,iPhone,iPhone 4,1,,16GB,AT&T,White,,,,,,
iPhone 4 AT&T 16GB Black,170,140,60,iPhone,iPhone 4,1,,16GB,AT&T,Black,,,,,,
,,,,,,,,,,,,,,,,
iPhone 4 Verizon 32GB White,230,200,80,iPhone,iPhone 4,1,,32GB,Verizon,White,,,,,,
iPhone 4 Verizon 32GB Black,200,170,70,iPhone,iPhone 4,1,,32GB,Verizon,Black,,,,,,
iPhone 4 Verizon 16GB White,200,160,70,iPhone,iPhone 4,1,,16GB,Verizon,White,,,,,,
iPhone 4 Verizon 16GB Black,170,140,60,iPhone,iPhone 4,1,,16GB,Verizon,Black,,,,,,
,,,,,,,,,,,,,,,,
Mini - 4G LTE Verizon 64GB White,550,500,250,iPad,Mini,1,,64GB,4G LTE - Verizon,White,,,,,,
Mini - 4G LTE Verizon 64GB Black,520,480,220,iPad,Mini,1,,64GB,4G LTE - Verizon,Black,,,,,,
Mini - 4G LTE Verizon 32GB White,500,470,200,iPad,Mini,1,,32GB,4G LTE - Verizon,White,,,,,,
Mini - 4G LTE Verizon 32GB Black,490,450,180,iPad,Mini,1,,32GB,4G LTE - Verizon,Black,,,,,,
Mini - 4G LTE Verizon 16GB White,450,420,200,iPad,Mini,1,,16GB,4G LTE - Verizon,White,,,,,,
Mini - 4G LTE Verizon 16GB Black,410,370,170,iPad,Mini,1,,16GB,4G LTE - Verizon,Black,,,,,,
Mini - 4G LTE - Sprint - 64GB White,550,500,250,iPad,Mini,1,,64GB,4G LTE - Sprint,White,,,,,,
Mini - 4G LTE - Sprint - 64GB Black,520,480,220,iPad,Mini,1,,64GB,4G LTE - Sprint,Black,,,,,,
Mini - 4G LTE - Sprint - 32GB White,500,470,200,iPad,Mini,1,,32GB,4G LTE - Sprint,White,,,,,,
Mini - 4G LTE - Sprint - 32GB Black,490,450,180,iPad,Mini,1,,32GB,4G LTE - Sprint,Black,,,,,,
Mini - 4G LTE - Sprint - 16GB White,450,420,200,iPad,Mini,1,,16GB,4G LTE - Sprint,White,,,,,,
Mini - 4G LTE - Sprint - 16GB Black,410,370,170,iPad,Mini,1,,16GB,4G LTE - Sprint,Black,,,,,,
Mini - 4G LTE AT&T 64GB White,500,470,200,iPad,Mini,1,,64GB,4G LTE - AT&T,White,,,,,,
Mini - 4G LTE AT&T 64GB Black,490,450,180,iPad,Mini,1,,64GB,4G LTE - AT&T,Black,,,,,,
Mini - 4G LTE AT&T 32GB White,500,470,200,iPad,Mini,1,,32GB,4G LTE - AT&T,White,,,,,,
Mini - 4G LTE AT&T 32GB Black,490,450,180,iPad,Mini,1,,32GB,4G LTE - AT&T,Black,,,,,,
Mini - 4G LTE AT&T 16GB White,450,420,200,iPad,Mini,1,,16GB,4G LTE - AT&T,White,,,,,,
Mini - 4G LTE AT&T 16GB Black,410,370,170,iPad,Mini,1,,16GB,4G LTE - AT&T,Black,,,,,,
Mini WiFi Only 64GB White,500,450,200,iPad,Mini,1,,64GB,WiFi Only,White,,,,,,
Mini WiFi Only 64GB Black,450,400,170,iPad,Mini,1,,64GB,WiFi Only,Black,,,,,,
Mini WiFi Only 32GB White,400,370,150,iPad,Mini,1,,32GB,WiFi Only,White,,,,,,
Mini WiFi Only 32GB Black,380,340,120,iPad,Mini,1,,32GB,WiFi Only,Black,,,,,,
Mini WiFi Only 16GB White,340,300,100,iPad,Mini,1,,16GB,WiFi Only,White,,,,,,
Mini WiFi Only 16GB Black,320,280,70,iPad,Mini,1,,16GB,WiFi Only,Black,,,,,,
iPad 4 - 4G LTE Verizon 64GB White,750,700,300,iPad,iPad 4,1,,64GB,4G LTE - Verizon,White,,,,,,
iPad 4 - 4G LTE Verizon 64GB Black,700,650,260,iPad,iPad 4,1,,64GB,4G LTE - Verizon,Black,,,,,,
iPad 4 - 4G LTE Verizon 32GB White,650,600,220,iPad,iPad 4,1,,32GB,4G LTE - Verizon,White,,,,,,
iPad 4 - 4G LTE Verizon 32GB Black,630,580,200,iPad,iPad 4,1,,32GB,4G LTE - Verizon,Black,,,,,,
iPad 4 - 4G LTE Verizon 16GB White,500,450,200,iPad,iPad 4,1,,16GB,4G LTE - Verizon,White,,,,,,
iPad 4 - 4G LTE Verizon 16GB Black,460,400,170,iPad,iPad 4,1,,16GB,4G LTE - Verizon,Black,,,,,,
iPad 4 - 4G LTE - Sprint - 64GB White,750,700,300,iPad,iPad 4,1,,64GB,4G LTE - Sprint,White,,,,,,
iPad 4 - 4G LTE - Sprint - 64GB Black,700,650,260,iPad,iPad 4,1,,64GB,4G LTE - Sprint,Black,,,,,,
iPad 4 - 4G LTE - Sprint - 32GB White,650,600,220,iPad,iPad 4,1,,32GB,4G LTE - Sprint,White,,,,,,
iPad 4 - 4G LTE - Sprint - 32GB Black,630,580,200,iPad,iPad 4,1,,32GB,4G LTE - Sprint,Black,,,,,,
iPad 4 - 4G LTE - Sprint - 16GB White,500,450,200,iPad,iPad 4,1,,16GB,4G LTE - Sprint,White,,,,,,
iPad 4 - 4G LTE - Sprint - 16GB Black,460,400,170,iPad,iPad 4,1,,16GB,4G LTE - Sprint,Black,,,,,,
iPad 4 - 4G LTE AT&T 64GB White,750,700,300,iPad,iPad 4,1,,64GB,4G LTE - AT&T,White,,,,,,
iPad 4 - 4G LTE AT&T 64GB Black,700,650,260,iPad,iPad 4,1,,64GB,4G LTE - AT&T,Black,,,,,,
iPad 4 - 4G LTE AT&T 32GB White,650,600,220,iPad,iPad 4,1,,32GB,4G LTE - AT&T,White,,,,,,
iPad 4 - 4G LTE AT&T 32GB Black,630,580,200,iPad,iPad 4,1,,32GB,4G LTE - AT&T,Black,,,,,,
iPad 4 - 4G LTE AT&T 16GB White,500,450,200,iPad,iPad 4,1,,16GB,4G LTE - AT&T,White,,,,,,
iPad 4 - 4G LTE AT&T 16GB Black,460,400,170,iPad,iPad 4,1,,16GB,4G LTE - AT&T,Black,,,,,,
iPad 4 WiFi Only 64GB White,650,600,300,iPad,iPad 4,1,,64GB,WiFi Only,White,,,,,,
iPad 4 WiFi Only 64GB Black,620,570,270,iPad,iPad 4,1,,64GB,WiFi Only,Black,,,,,,
iPad 4 WiFi Only 32GB White,600,550,250,iPad,iPad 4,1,,32GB,WiFi Only,White,,,,,,
iPad 4 WiFi Only 32GB Black,550,500,200,iPad,iPad 4,1,,32GB,WiFi Only,Black,,,,,,
iPad 4 WiFi Only 16GB White,400,350,150,iPad,iPad 4,1,,16GB,WiFi Only,White,,,,,,
iPad 4 WiFi Only 16GB Black,360,300,120,iPad,iPad 4,1,,16GB,WiFi Only,Black,,,,,,
,,,,,,,,,,,,,,,,
iPad 3 - 4G LTE Verizon 64GB White,550,500,250,iPad,iPad 3,1,,64GB,4G LTE - Verizon,White,,,,,,
iPad 3 - 4G LTE Verizon 64GB Black,520,470,200,iPad,iPad 3,1,,64GB,4G LTE - Verizon,Black,,,,,,
iPad 3 - 4G LTE Verizon 32GB White,500,440,200,iPad,iPad 3,1,,32GB,4G LTE - Verizon,White,,,,,,
iPad 3 - 4G LTE Verizon 32GB Black,450,400,150,iPad,iPad 3,1,,32GB,4G LTE - Verizon,Black,,,,,,
iPad 3 - 4G LTE Verizon 16GB White,350,300,120,iPad,iPad 3,1,,16GB,4G LTE - Verizon,White,,,,,,
iPad 3 - 4G LTE Verizon 16GB Black,300,260,100,iPad,iPad 3,1,,16GB,4G LTE - Verizon,Black,,,,,,
,,,,,,,,,,,,,,,,
iPad 3 - 4G LTE AT&T 64GB White,550,500,250,iPad,iPad 3,1,,64GB,4G LTE - AT&T,White,,,,,,
iPad 3 - 4G LTE AT&T 64GB Black,520,470,200,iPad,iPad 3,1,,64GB,4G LTE - AT&T,Black,,,,,,
iPad 3 - 4G LTE AT&T 32GB White,500,440,200,iPad,iPad 3,1,,32GB,4G LTE - AT&T,White,,,,,,
iPad 3 - 4G LTE AT&T 32GB Black,450,400,150,iPad,iPad 3,1,,32GB,4G LTE - AT&T,Black,,,,,,
iPad 3 - 4G LTE AT&T 16GB White,350,300,120,iPad,iPad 3,1,,16GB,4G LTE - AT&T,White,,,,,,
iPad 3 - 4G LTE AT&T 16GB Black,300,260,100,iPad,iPad 3,1,,16GB,4G LTE - AT&T,Black,,,,,,
,,,,,,,,,,,,,,,,
iPad 3 WiFi Only 64GB White,500,450,240,iPad,iPad 3,1,,64GB,WiFi Only,White,,,,,,
iPad 3 WiFi Only 64GB Black,460,400,200,iPad,iPad 3,1,,64GB,WiFi Only,Black,,,,,,
iPad 3 WiFi Only 32GB White,450,390,190,iPad,iPad 3,1,,32GB,WiFi Only,White,,,,,,
iPad 3 WiFi Only 32GB Black,420,370,150,iPad,iPad 3,1,,32GB,WiFi Only,Black,,,,,,
iPad 3 WiFi Only 16GB White,400,350,120,iPad,iPad 3,1,,16GB,WiFi Only,White,,,,,,
iPad 3 WiFi Only 16GB Black,360,330,100,iPad,iPad 3,1,,16GB,WiFi Only,Black,,,,,,
,,,,,,,,,,,,,,,,
iPad 2 - 3G Verizon 64GB White,250,200,100,iPad,iPad 2,1,,64GB,3G - Verizon,White,,,,,,
iPad 2 - 3G Verizon 64GB Black,220,180,80,iPad,iPad 2,1,,64GB,3G - Verizon,Black,,,,,,
iPad 2 - 3G Verizon 32GB White,200,150,90,iPad,iPad 2,1,,32GB,3G - Verizon,White,,,,,,
iPad 2 - 3G Verizon 32GB Black,120,90,45,iPad,iPad 2,1,,32GB,3G - Verizon,Black,,,,,,
iPad 2 - 3G Verizon 16GB White,150,120,30,iPad,iPad 2,1,,16GB,3G - Verizon,White,,,,,,
iPad 2 - 3G Verizon 16GB Black,120,90,30,iPad,iPad 2,1,,16GB,3G - Verizon,Black,,,,,,
iPad 2 - 3G AT&T 64GB White,250,200,100,iPad,iPad 2,1,,64GB,3G - AT&T,White,,,,,,
iPad 2 - 3G AT&T 64GB Black,220,180,80,iPad,iPad 2,1,,64GB,3G - AT&T,Black,,,,,,
iPad 2 - 3G AT&T 32GB White,200,150,90,iPad,iPad 2,1,,32GB,3G - AT&T,White,,,,,,
iPad 2 - 3G AT&T 32GB Black,120,90,45,iPad,iPad 2,1,,32GB,3G - AT&T,Black,,,,,,
iPad 2 - 3G AT&T 16GB White,150,120,30,iPad,iPad 2,1,,16GB,3G - AT&T,White,,,,,,
iPad 2 - 3G AT&T 16GB Black,120,90,30,iPad,iPad 2,1,,16GB,3G - AT&T,Black,,,,,,
iPad 2 WiFi Only 64GB White,300,250,100,iPad,iPad 2,1,,64GB,WiFi Only,White,,,,,,
iPad 2 WiFi Only 64GB Black,270,220,90,iPad,iPad 2,1,,64GB,WiFi Only,Black,,,,,,
iPad 2 WiFi Only 32GB White,250,200,80,iPad,iPad 2,1,,32GB,WiFi Only,White,,,,,,
iPad 2 WiFi Only 32GB Black,230,170,70,iPad,iPad 2,1,,32GB,WiFi Only,Black,,,,,,
iPad 2 WiFi Only 16GB White,200,150,60,iPad,iPad 2,1,,16GB,WiFi Only,White,,,,,,
iPad 2 WiFi Only 16GB Black,160,120,50,iPad,iPad 2,1,,16GB,WiFi Only,Black,,,,,,
,,,,,,,,,,,,,,,,
Galaxy Note II Unlocked 32GB White,650,600,300,Galaxy,Note II,1,,32GB,Factory Unlocked,White,,,,,,
Galaxy Note II Unlocked 16GB White,500,450,230,Galaxy,Note II,1,,16GB,Factory Unlocked,White,,,,,,
Galaxy Note II Sprint 16GB White,600,550,250,Galaxy,Note II,1,,16GB,Sprint,White,,,,,,
Galaxy Note II T-Mobile 16GB White,600,550,250,Galaxy,Note II,1,,16GB,T-Mobile,White,,,,,,
Galaxy Note II AT&T 16GB White,600,550,250,Galaxy,Note II,1,,16GB,AT&T,White,,,,,,
Galaxy Note II Verizon 16GB White,600,550,250,Galaxy,Note II,1,,16GB,Verizon,White,,,,,,
,,,,,,,,,,,,,,,,
Galaxy Note II Sprint 16GB Gray,600,550,250,Galaxy,Note II,1,,16GB,Sprint,Gray,,,,,,
Galaxy Note II T-Mobile 16GB Gray,600,550,250,Galaxy,Note II,1,,16GB,T-Mobile,Gray,,,,,,
Galaxy Note II AT&T 16GB Gray,600,550,250,Galaxy,Note II,1,,16GB,AT&T,Gray,,,,,,
Galaxy Note II Verizon 16GB Gray,600,550,250,Galaxy,Note II,1,,16GB,Verizon,Gray,,,,,,
,,,,,,,,,,,,,,,,
Galaxy - Note Unlocked 32GB White,350,300,150,Galaxy,Note,1,,32GB,Factory Unlocked,White,,,,,,
Galaxy - Note Unlocked 16GB White,300,250,120,Galaxy,Note,1,,16GB,Factory Unlocked,White,,,,,,
