Title,Flawlesss,Good,Poor,Category,Product model,Weight lb,Year,Space,Network,Color,Generation,Screen Size,Retina Display ,Memory,Hard Disk,Processor
iPod Touch 5 - 32GB - Silver,2800,,,iPod,Touch,1,,32GB,,Silver,5,,,,,
iPod Touch 5 - 32GB - Black,2800,,,iPod,Touch,1,,32GB,,Black,5,,,,,
iPod Touch 5 - 32GB - White,2800,,,iPod,Touch,1,,32GB,,White,5,,,,,
iPod Touch 5 - 32GB - Yellow,2800,,,iPod,Touch,1,,32GB,,Yellow,5,,,,,
iPod Touch 5 - 32GB - Blue,2800,,,iPod,Touch,1,,32GB,,Blue,5,,,,,
iPod Touch 5 - 32GB - Pink,2800,,,iPod,Touch,1,,32GB,,Pink,5,,,,,
iPod Touch 5 - 32GB - Red,2800,,,iPod,Touch,1,,32GB,,Red,5,,,,,
iPod Touch 5 - 64GB - Slate,3700,,,iPod,Touch,1,,64GB,,Slate,5,,,,,
iPod Touch 5 - 64GB - Silver,3700,,,iPod,Touch,1,,64GB,,Silver,5,,,,,
iPod Touch 5 - 64GB - Black,3700,,,iPod,Touch,1,,64GB,,Black,5,,,,,
iPod Touch 5 - 64GB - White,3700,,,iPod,Touch,1,,64GB,,White,5,,,,,
iPod Touch 5 - 64GB - Yellow,3700,,,iPod,Touch,1,,64GB,,Yellow,5,,,,,
iPod Touch 5 - 64GB - Blue,3700,,,iPod,Touch,1,,64GB,,Blue,5,,,,,
iPod Touch 5 - 64GB - Pink,3700,,,iPod,Touch,1,,64GB,,Pink,5,,,,,
iPod Touch 5 - 64GB - Red,3700,,,iPod,Touch,1,,64GB,,Red,5,,,,,

iPod Classic - 160GB - Silver,2200,,,iPod,Classic,1,,160GB,,Silver,Late 2009,,,,,
iPod Classic - 160GB - Black,2200,,,iPod,Classic,1,,160GB,,Black,Late 2009,,,,,

iPhone 5 Unlocked 64GB White,8200,,,iPhone,iPhone 5,1,,64GB,Factory Unlocked,White,,,,,,
iPhone 5 Unlocked 64GB Black,8000,,,iPhone,iPhone 5,1,,64GB,Factory Unlocked,Black,,,,,,
iPhone 5 Unlocked 32GB White,7200,,,iPhone,iPhone 5,1,,32GB,Factory Unlocked,White,,,,,,
iPhone 5 Unlocked 32GB Black,7000,,,iPhone,iPhone 5,1,,32GB,Factory Unlocked,Black,,,,,,
iPhone 5 Unlocked 16GB  White,6200,,,iPhone,iPhone 5,1,,16GB,Factory Unlocked,White,,,,,,
iPhone 5 Unlocked 16GB  Black,6000,,,iPhone,iPhone 5,1,,16GB,Factory Unlocked,Black,,,,,,
iPhone 5 Sprint 64GB White,5500,,,iPhone,iPhone 5,1,,64GB,Sprint,White,,,,,,
iPhone 5 Sprint 64GB Black,5000,,,iPhone,iPhone 5,1,,64GB,Sprint,Black,,,,,,
iPhone 5 Sprint 32GB  White,4700,,,iPhone,iPhone 5,1,,32GB,Sprint,White,,,,,,
iPhone 5 Sprint 32GB  Black,4500,,,iPhone,iPhone 5,1,,32GB,Sprint,Black,,,,,,
iPhone 5 Sprint 16GB White,4200,,,iPhone,iPhone 5,1,,16GB,Sprint,White,,,,,,
iPhone 5 Sprint 16GB Black,4000,,,iPhone,iPhone 5,1,,16GB,Sprint,Black,,,,,,
iPhone 5 AT&T 64GB White,6500,,,iPhone,iPhone 5,1,,64GB,AT&T,White,,,,,,
iPhone 5 AT&T 64GB Black,6200,,,iPhone,iPhone 5,1,,64GB,AT&T,Black,,,,,,
iPhone 5 AT&T 32GB White,5500,,,iPhone,iPhone 5,1,,32GB,AT&T,White,,,,,,
iPhone 5 AT&T 32GB Black,5300,,,iPhone,iPhone 5,1,,32GB,AT&T,Black,,,,,,
iPhone 5 AT&T 16GB  White,5000,,,iPhone,iPhone 5,1,,16GB,AT&T,White,,,,,,
iPhone 5 AT&T 16GB  Black,4700,,,iPhone,iPhone 5,1,,16GB,AT&T,Black,,,,,,
iPhone 5 Verizon 64GB White,6300,,,iPhone,iPhone 5,1,,64GB,Verizon,White,,,,,,
iPhone 5 Verizon 64GB Black,6000,,,iPhone,iPhone 5,1,,64GB,Verizon,Black,,,,,,
iPhone 5 Verizon 32GB White,5700,,,iPhone,iPhone 5,1,,32GB,Verizon,White,,,,,,
iPhone 5 Verizon 32GB Black,5400,,,iPhone,iPhone 5,1,,32GB,Verizon,Black,,,,,,
iPhone 5 Verizon 16GB  White,5000,,,iPhone,iPhone 5,1,,16GB,Verizon,White,,,,,,
iPhone 5 Verizon 16GB  Black,4700,,,iPhone,iPhone 5,1,,16GB,Verizon,Black,,,,,,

iPad 4 - 4G LTE Verizon 64GB White,8100,,,iPad,iPad 4,1,,64GB,4G LTE - Verizon,White,,,,,,
iPad 4 - 4G LTE Verizon 64GB Black,7900,,,iPad,iPad 4,1,,64GB,4G LTE - Verizon,Black,,,,,,
iPad 4 - 4G LTE Verizon 32GB White,7000,,,iPad,iPad 4,1,,32GB,4G LTE - Verizon,White,,,,,,
iPad 4 - 4G LTE Verizon 32GB Black,6800,,,iPad,iPad 4,1,,32GB,4G LTE - Verizon,Black,,,,,,
iPad 4 - 4G LTE Verizon 16GB White,6000,,,iPad,iPad 4,1,,16GB,4G LTE - Verizon,White,,,,,,
iPad 4 - 4G LTE Verizon 16GB Black,5800,,,iPad,iPad 4,1,,16GB,4G LTE - Verizon,Black,,,,,,
iPad 4 - 4G LTE - Sprint - 64GB White,8100,,,iPad,iPad 4,1,,64GB,4G LTE - Sprint,White,,,,,,
iPad 4 - 4G LTE - Sprint - 64GB Black,7900,,,iPad,iPad 4,1,,64GB,4G LTE - Sprint,Black,,,,,,
iPad 4 - 4G LTE - Sprint - 32GB White,7000,,,iPad,iPad 4,1,,32GB,4G LTE - Sprint,White,,,,,,
iPad 4 - 4G LTE - Sprint - 32GB Black,6800,,,iPad,iPad 4,1,,32GB,4G LTE - Sprint,Black,,,,,,
iPad 4 - 4G LTE - Sprint - 16GB White,6000,,,iPad,iPad 4,1,,16GB,4G LTE - Sprint,White,,,,,,
iPad 4 - 4G LTE - Sprint - 16GB Black,5800,,,iPad,iPad 4,1,,16GB,4G LTE - Sprint,Black,,,,,,
iPad 4 - 4G LTE AT&T 64GB White,8100,,,iPad,iPad 4,1,,64GB,4G LTE - AT&T,White,,,,,,
iPad 4 - 4G LTE AT&T 64GB Black,7900,,,iPad,iPad 4,1,,64GB,4G LTE - AT&T,Black,,,,,,
iPad 4 - 4G LTE AT&T 32GB White,7000,,,iPad,iPad 4,1,,32GB,4G LTE - AT&T,White,,,,,,
iPad 4 - 4G LTE AT&T 32GB Black,6800,,,iPad,iPad 4,1,,32GB,4G LTE - AT&T,Black,,,,,,
iPad 4 - 4G LTE AT&T 16GB White,6000,,,iPad,iPad 4,1,,16GB,4G LTE - AT&T,White,,,,,,
iPad 4 - 4G LTE AT&T 16GB Black,5800,,,iPad,iPad 4,1,,16GB,4G LTE - AT&T,Black,,,,,,
iPad 4 WiFi Only 64GB White,6700,,,iPad,iPad 4,1,,64GB,WiFi Only,White,,,,,,
iPad 4 WiFi Only 64GB Black,6500,,,iPad,iPad 4,1,,64GB,WiFi Only,Black,,,,,,
iPad 4 WiFi Only 32GB White,5800,,,iPad,iPad 4,1,,32GB,WiFi Only,White,,,,,,
iPad 4 WiFi Only 32GB Black,5600,,,iPad,iPad 4,1,,32GB,WiFi Only,Black,,,,,,
iPad 4 WiFi Only 16GB White,4700,,,iPad,iPad 4,1,,16GB,WiFi Only,White,,,,,,
iPad 4 WiFi Only 16GB Black,4500,,,iPad,iPad 4,1,,16GB,WiFi Only,Black,,,,,,

Mini - 4G LTE Verizon 64GB White,6400,,,iPad,Mini,1,,64GB,4G LTE - Verizon,White,,,,,,
Mini - 4G LTE Verizon 64GB Black,6200,,,iPad,Mini,1,,64GB,4G LTE - Verizon,Black,,,,,,
Mini - 4G LTE Verizon 32GB White,5400,,,iPad,Mini,1,,32GB,4G LTE - Verizon,White,,,,,,
Mini - 4G LTE Verizon 32GB Black,5300,,,iPad,Mini,1,,32GB,4G LTE - Verizon,Black,,,,,,
Mini - 4G LTE Verizon 16GB White,4300,,,iPad,Mini,1,,16GB,4G LTE - Verizon,White,,,,,,
Mini - 4G LTE Verizon 16GB Black,4100,,,iPad,Mini,1,,16GB,4G LTE - Verizon,Black,,,,,,
Mini - 4G LTE - Sprint - 64GB White,6400,,,iPad,Mini,1,,64GB,4G LTE - Sprint,White,,,,,,
Mini - 4G LTE - Sprint - 64GB Black,6200,,,iPad,Mini,1,,64GB,4G LTE - Sprint,Black,,,,,,
Mini - 4G LTE - Sprint - 32GB White,5400,,,iPad,Mini,1,,32GB,4G LTE - Sprint,White,,,,,,
Mini - 4G LTE - Sprint - 32GB Black,5300,,,iPad,Mini,1,,32GB,4G LTE - Sprint,Black,,,,,,
Mini - 4G LTE - Sprint - 16GB White,4300,,,iPad,Mini,1,,16GB,4G LTE - Sprint,White,,,,,,
Mini - 4G LTE - Sprint - 16GB Black,4100,,,iPad,Mini,1,,16GB,4G LTE - Sprint,Black,,,,,,
Mini - 4G LTE AT&T 64GB White,6400,,,iPad,Mini,1,,64GB,4G LTE - AT&T,White,,,,,,
Mini - 4G LTE AT&T 64GB Black,6200,,,iPad,Mini,1,,64GB,4G LTE - AT&T,Black,,,,,,
Mini - 4G LTE AT&T 32GB White,5400,,,iPad,Mini,1,,32GB,4G LTE - AT&T,White,,,,,,
Mini - 4G LTE AT&T 32GB Black,5300,,,iPad,Mini,1,,32GB,4G LTE - AT&T,Black,,,,,,
Mini - 4G LTE AT&T 16GB White,4300,,,iPad,Mini,1,,16GB,4G LTE - AT&T,White,,,,,,
Mini - 4G LTE AT&T 16GB Black,4100,,,iPad,Mini,1,,16GB,4G LTE - AT&T,Black,,,,,,
Mini WiFi Only 64GB White,5000,,,iPad,Mini,1,,64GB,WiFi Only,White,,,,,,
Mini WiFi Only 64GB Black,4800,,,iPad,Mini,1,,64GB,WiFi Only,Black,,,,,,
Mini WiFi Only 32GB White,4100,,,iPad,Mini,1,,32GB,WiFi Only,White,,,,,,
Mini WiFi Only 32GB Black,3900,,,iPad,Mini,1,,32GB,WiFi Only,Black,,,,,,
Mini WiFi Only 16GB White,3100,,,iPad,Mini,1,,16GB,WiFi Only,White,,,,,,
Mini WiFi Only 16GB Black,3000,,,iPad,Mini,1,,16GB,WiFi Only,Black,,,,,,

Galaxy Note II Unlocked 32GB White,7000,,,Galaxy,Note II,1,,32GB,Factory Unlocked,White,,,,,,
Galaxy Note II Unlocked 16GB White,6800,,,Galaxy,Note II,1,,16GB,Factory Unlocked,White,,,,,,
Galaxy Note II - Sprint - 16GB White,4500,,,Galaxy,Note II,1,,16GB,Sprint,White,,,,,,
Galaxy Note II - T-Mobile - 16GB White,4500,,,Galaxy,Note II,1,,16GB,T-Mobile,White,,,,,,
Galaxy Note II AT&T 16GB White,4500,,,Galaxy,Note II,1,,16GB,AT&T,White,,,,,,
Galaxy Note II - T-Mobile - 16GB White,4500,,,Galaxy,Note II,1,,16GB,T-Mobile,White,,,,,,
Galaxy Note II - Sprint - 16GB Gray,4500,,,Galaxy,Note II,1,,16GB,Sprint,Gray,,,,,,
Galaxy Note II - T-Mobile - 16GB Gray,4500,,,Galaxy,Note II,1,,16GB,T-Mobile,Gray,,,,,,
Galaxy Note II AT&T 16GB Gray,4500,,,Galaxy,Note II,1,,16GB,AT&T,Gray,,,,,,
Galaxy Note II - T-Mobile - 16GB Gray,4500,,,Galaxy,Note II,1,,16GB,T-Mobile,Gray,,,,,,

Galaxy S3 Unlocked - 32GB Black,5500,,,Galaxy,S III,1,,32GB,Factory Unlocked,Black,,,,,,
Galaxy S3 Unlocked - 32GB White,5700,,,Galaxy,S III,1,,32GB,Factory Unlocked,Brown,,,,,,
Galaxy S3 Unlocked - 32GB Red,5700,,,Galaxy,S III,1,,32GB,Factory Unlocked,Red,,,,,,
Galaxy S3 Unlocked - 16GB  White,5000,,,Galaxy,S III,1,,16GB,Factory Unlocked,White,,,,,,
Galaxy S3 Unlocked - 16GB  Black,4800,,,Galaxy,S III,1,,16GB,Factory Unlocked,Black,,,,,,
Galaxy S3 Unlocked - 16GB  Red,5000,,,Galaxy,S III,1,,16GB,Factory Unlocked,Red,,,,,,
Galaxy S3 Sprint - 32GB White,4300,,,Galaxy,S III,1,,32GB,Sprint,White,,,,,,
Galaxy S3 Sprint - 32GB Black,4000,,,Galaxy,S III,1,,32GB,Sprint,Black,,,,,,
Galaxy S3 Sprint - 32GB Red,4300,,,Galaxy,S III,1,,32GB,Sprint,Red,,,,,,
Galaxy S3 Sprint - 16GB White,3800,,,Galaxy,S III,1,,16GB,Sprint,White,,,,,,
Galaxy S3 Sprint - 16GB Black,3600,,,Galaxy,S III,1,,16GB,Sprint,Black,,,,,,
Galaxy S3 Sprint - 16GB Red,3800,,,Galaxy,S III,1,,16GB,Sprint,Red,,,,,,
Galaxy S3 T-Mobile - 32GB White,4200,,,Galaxy,S III,1,,32GB,T-Mobile,White,,,,,,
Galaxy S3 T-Mobile - 32GB Black,4000,,,Galaxy,S III,1,,32GB,T-Mobile,Black,,,,,,
Galaxy S3 T-Mobile - 32GB Red,4000,,,Galaxy,S III,1,,32GB,T-Mobile,Red,,,,,,
Galaxy S3 T-Mobile - 16GB White,3700,,,Galaxy,S III,1,,16GB,T-Mobile,White,,,,,,
Galaxy S3 T-Mobile - 16GB Black,3500,,,Galaxy,S III,1,,16GB,T-Mobile,Black,,,,,,
Galaxy S3 T-Mobile - 16GB Red,3700,,,Galaxy,S III,1,,16GB,T-Mobile,Red,,,,,,
Galaxy S3 AT&T - 32GB White,4400,,,Galaxy,S III,1,,32GB,AT&T,White,,,,,,
Galaxy S3 AT&T - 32GB Black,4000,,,Galaxy,S III,1,,32GB,AT&T,Black,,,,,,
Galaxy S3 AT&T - 32GB Red,4400,,,Galaxy,S III,1,,32GB,AT&T,Red,,,,,,
Galaxy S3 AT&T - 16GB White,3800,,,Galaxy,S III,1,,16GB,AT&T,White,,,,,,
Galaxy S3 AT&T - 16GB Black,3600,,,Galaxy,S III,1,,16GB,AT&T,Black,,,,,,
Galaxy S3 AT&T - 16GB Red,3800,,,Galaxy,S III,1,,16GB,AT&T,Red,,,,,,
