Title,Honey price,Using condition,For sell,For buy,Category,Product model,Weight lb,Year,Space,Network,Color,Generation,Screen Size,Retina Display ,Memory,Hard Disk,Processor
iPod Touch 5 - 32GB - Black,2800,Flawless,FALSE,TRUE,iPod,Touch,1,,32GB,,Black,5,,,,,
iPod Touch 5 - 32GB - White,2800,Flawless,FALSE,TRUE,iPod,Touch,1,,32GB,,White,5,,,,,
iPod Touch 5 - 32GB - Yellow,2800,Flawless,FALSE,TRUE,iPod,Touch,1,,32GB,,Yellow,5,,,,,
iPod Touch 5 - 32GB - Blue,2800,Flawless,FALSE,TRUE,iPod,Touch,1,,32GB,,Blue,5,,,,,
iPod Touch 5 - 32GB - Pink,2800,Flawless,FALSE,TRUE,iPod,Touch,1,,32GB,,Pink,5,,,,,
iPod Touch 5 - 32GB - Red,2800,Flawless,FALSE,TRUE,iPod,Touch,1,,32GB,,Red,5,,,,,
iPod Touch 5 - 64GB - Slate,3700,Flawless,FALSE,TRUE,iPod,Touch,1,,64GB,,Slate,5,,,,,
iPod Touch 5 - 64GB - Silver,3700,Flawless,FALSE,TRUE,iPod,Touch,1,,64GB,,Silver,5,,,,,
iPod Touch 5 - 64GB - Black,3700,Flawless,FALSE,TRUE,iPod,Touch,1,,64GB,,Black,5,,,,,
iPod Touch 5 - 64GB - White,3700,Flawless,FALSE,TRUE,iPod,Touch,1,,64GB,,White,5,,,,,
iPod Touch 5 - 64GB - Yellow,3700,Flawless,FALSE,TRUE,iPod,Touch,1,,64GB,,Yellow,5,,,,,
iPod Touch 5 - 64GB - Blue,3700,Flawless,FALSE,TRUE,iPod,Touch,1,,64GB,,Blue,5,,,,,
iPod Touch 5 - 64GB - Pink,3700,Flawless,FALSE,TRUE,iPod,Touch,1,,64GB,,Pink,5,,,,,
iPod Touch 5 - 64GB - Red,3700,Flawless,FALSE,TRUE,iPod,Touch,1,,64GB,,Red,5,,,,,

iPod Classic - 160GB - Silver,2200,Flawless,FALSE,TRUE,iPod,Classic,1,,160GB,,Silver,Late 2009,,,,,
iPod Classic - 160GB - Black,2200,Flawless,FALSE,TRUE,iPod,Classic,1,,160GB,,Black,Late 2009,,,,,

iPhone 5 Unlocked 64GB White,8200,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,Factory Unlocked,White,,,,,,
iPhone 5 Unlocked 64GB Black,8000,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,Factory Unlocked,Black,,,,,,
iPhone 5 Unlocked 32GB White,7200,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,Factory Unlocked,White,,,,,,
iPhone 5 Unlocked 32GB Black,7000,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,Factory Unlocked,Black,,,,,,
iPhone 5 Unlocked 16GB  White,6200,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,Factory Unlocked,White,,,,,,
iPhone 5 Unlocked 16GB  Black,6000,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,Factory Unlocked,Black,,,,,,
iPhone 5 Sprint 64GB White,5500,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,Sprint,White,,,,,,
iPhone 5 Sprint 64GB Black,5000,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,Sprint,Black,,,,,,
iPhone 5 Sprint 32GB  White,4700,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,Sprint,White,,,,,,
iPhone 5 Sprint 32GB  Black,4500,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,Sprint,Black,,,,,,
iPhone 5 Sprint 16GB White,4200,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,Sprint,White,,,,,,
iPhone 5 Sprint 16GB Black,4000,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,Sprint,Black,,,,,,
iPhone 5 AT&T 64GB White,6500,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,AT&T,White,,,,,,
iPhone 5 AT&T 64GB Black,6200,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,AT&T,Black,,,,,,
iPhone 5 AT&T 32GB White,5500,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,AT&T,White,,,,,,
iPhone 5 AT&T 32GB Black,5300,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,AT&T,Black,,,,,,
iPhone 5 AT&T 16GB  White,5000,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,AT&T,White,,,,,,
iPhone 5 AT&T 16GB  Black,4700,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,AT&T,Black,,,,,,
iPhone 5 Verizon 64GB White,6300,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,Verizon,White,,,,,,
iPhone 5 Verizon 64GB Black,6000,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,64GB,Verizon,Black,,,,,,
iPhone 5 Verizon 32GB White,5700,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,Verizon,White,,,,,,
iPhone 5 Verizon 32GB Black,5400,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,32GB,Verizon,Black,,,,,,
iPhone 5 Verizon 16GB  White,5000,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,Verizon,White,,,,,,
iPhone 5 Verizon 16GB  Black,4700,Flawless,FALSE,TRUE,iPhone,iPhone 5,1,,16GB,Verizon,Black,,,,,,

iPad 4 - 4G LTE Verizon 64GB White,8100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,64GB,4G LTE - Verizon,White,,,,,,
iPad 4 - 4G LTE Verizon 64GB Black,7900,Flawless,FALSE,TRUE,iPad,iPad 4,1,,64GB,4G LTE - Verizon,Black,,,,,,
iPad 4 - 4G LTE Verizon 32GB White,7000,Flawless,FALSE,TRUE,iPad,iPad 4,1,,32GB,4G LTE - Verizon,White,,,,,,
iPad 4 - 4G LTE Verizon 32GB Black,6800,Flawless,FALSE,TRUE,iPad,iPad 4,1,,32GB,4G LTE - Verizon,Black,,,,,,
iPad 4 - 4G LTE Verizon 16GB White,6000,Flawless,FALSE,TRUE,iPad,iPad 4,1,,16GB,4G LTE - Verizon,White,,,,,,
iPad 4 - 4G LTE Verizon 16GB Black,5800,Flawless,FALSE,TRUE,iPad,iPad 4,1,,16GB,4G LTE - Verizon,Black,,,,,,
iPad 4 - 4G LTE - Sprint - 64GB White,8100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,64GB,4G LTE - Sprint,White,,,,,,
iPad 4 - 4G LTE - Sprint - 64GB Black,7900,Flawless,FALSE,TRUE,iPad,iPad 4,1,,64GB,4G LTE - Sprint,Black,,,,,,
iPad 4 - 4G LTE - Sprint - 32GB White,7000,Flawless,FALSE,TRUE,iPad,iPad 4,1,,32GB,4G LTE - Sprint,White,,,,,,
iPad 4 - 4G LTE - Sprint - 32GB Black,6800,Flawless,FALSE,TRUE,iPad,iPad 4,1,,32GB,4G LTE - Sprint,Black,,,,,,
iPad 4 - 4G LTE - Sprint - 16GB White,6000,Flawless,FALSE,TRUE,iPad,iPad 4,1,,16GB,4G LTE - Sprint,White,,,,,,
iPad 4 - 4G LTE - Sprint - 16GB Black,5800,Flawless,FALSE,TRUE,iPad,iPad 4,1,,16GB,4G LTE - Sprint,Black,,,,,,
iPad 4 - 4G LTE AT&T 64GB White,8100,Flawless,FALSE,TRUE,iPad,iPad 4,1,,64GB,4G LTE - AT&T,White,,,,,,
iPad 4 - 4G LTE AT&T 64GB Black,7900,Flawless,FALSE,TRUE,iPad,iPad 4,1,,64GB,4G LTE - AT&T,Black,,,,,,
iPad 4 - 4G LTE AT&T 32GB White,7000,Flawless,FALSE,TRUE,iPad,iPad 4,1,,32GB,4G LTE - AT&T,White,,,,,,
iPad 4 - 4G LTE AT&T 32GB Black,6800,Flawless,FALSE,TRUE,iPad,iPad 4,1,,32GB,4G LTE - AT&T,Black,,,,,,
iPad 4 - 4G LTE AT&T 16GB White,6000,Flawless,FALSE,TRUE,iPad,iPad 4,1,,16GB,4G LTE - AT&T,White,,,,,,
iPad 4 - 4G LTE AT&T 16GB Black,5800,Flawless,FALSE,TRUE,iPad,iPad 4,1,,16GB,4G LTE - AT&T,Black,,,,,,
iPad 4 WiFi Only 64GB White,6700,Flawless,FALSE,TRUE,iPad,iPad 4,1,,64GB,WiFi Only,White,,,,,,
iPad 4 WiFi Only 64GB Black,6500,Flawless,FALSE,TRUE,iPad,iPad 4,1,,64GB,WiFi Only,Black,,,,,,
iPad 4 WiFi Only 32GB White,5800,Flawless,FALSE,TRUE,iPad,iPad 4,1,,32GB,WiFi Only,White,,,,,,
iPad 4 WiFi Only 32GB Black,5600,Flawless,FALSE,TRUE,iPad,iPad 4,1,,32GB,WiFi Only,Black,,,,,,
iPad 4 WiFi Only 16GB White,4700,Flawless,FALSE,TRUE,iPad,iPad 4,1,,16GB,WiFi Only,White,,,,,,
iPad 4 WiFi Only 16GB Black,4500,Flawless,FALSE,TRUE,iPad,iPad 4,1,,16GB,WiFi Only,Black,,,,,,

Mini - 4G LTE Verizon 32GB White,5400,Flawless,FALSE,TRUE,iPad,Mini,1,,32GB,4G LTE - Verizon,White,,,,,,
Mini - 4G LTE Verizon 32GB Black,5300,Flawless,FALSE,TRUE,iPad,Mini,1,,32GB,4G LTE - Verizon,Black,,,,,,
Mini - 4G LTE Verizon 16GB White,4300,Flawless,FALSE,TRUE,iPad,Mini,1,,16GB,4G LTE - Verizon,White,,,,,,
Mini - 4G LTE Verizon 16GB Black,4100,Flawless,FALSE,TRUE,iPad,Mini,1,,16GB,4G LTE - Verizon,Black,,,,,,
Mini - 4G LTE - Sprint - 64GB White,6400,Flawless,FALSE,TRUE,iPad,Mini,1,,64GB,4G LTE - Sprint,White,,,,,,
Mini - 4G LTE - Sprint - 64GB Black,6200,Flawless,FALSE,TRUE,iPad,Mini,1,,64GB,4G LTE - Sprint,Black,,,,,,
Mini - 4G LTE - Sprint - 32GB White,5400,Flawless,FALSE,TRUE,iPad,Mini,1,,32GB,4G LTE - Sprint,White,,,,,,
Mini - 4G LTE - Sprint - 32GB Black,5300,Flawless,FALSE,TRUE,iPad,Mini,1,,32GB,4G LTE - Sprint,Black,,,,,,
Mini - 4G LTE - Sprint - 16GB White,4300,Flawless,FALSE,TRUE,iPad,Mini,1,,16GB,4G LTE - Sprint,White,,,,,,
Mini - 4G LTE - Sprint - 16GB Black,4100,Flawless,FALSE,TRUE,iPad,Mini,1,,16GB,4G LTE - Sprint,Black,,,,,,
Mini - 4G LTE AT&T 64GB White,6400,Flawless,FALSE,TRUE,iPad,Mini,1,,64GB,4G LTE - AT&T,White,,,,,,
Mini - 4G LTE AT&T 64GB Black,6200,Flawless,FALSE,TRUE,iPad,Mini,1,,64GB,4G LTE - AT&T,Black,,,,,,
Mini - 4G LTE AT&T 32GB White,5400,Flawless,FALSE,TRUE,iPad,Mini,1,,32GB,4G LTE - AT&T,White,,,,,,
Mini - 4G LTE AT&T 32GB Black,5300,Flawless,FALSE,TRUE,iPad,Mini,1,,32GB,4G LTE - AT&T,Black,,,,,,
Mini - 4G LTE AT&T 16GB White,4300,Flawless,FALSE,TRUE,iPad,Mini,1,,16GB,4G LTE - AT&T,White,,,,,,
Mini - 4G LTE AT&T 16GB Black,4100,Flawless,FALSE,TRUE,iPad,Mini,1,,16GB,4G LTE - AT&T,Black,,,,,,
Mini WiFi Only 64GB White,5000,Flawless,FALSE,TRUE,iPad,Mini,1,,64GB,WiFi Only,White,,,,,,
Mini WiFi Only 64GB Black,4800,Flawless,FALSE,TRUE,iPad,Mini,1,,64GB,WiFi Only,Black,,,,,,
Mini WiFi Only 32GB White,4100,Flawless,FALSE,TRUE,iPad,Mini,1,,32GB,WiFi Only,White,,,,,,
Mini WiFi Only 32GB Black,3900,Flawless,FALSE,TRUE,iPad,Mini,1,,32GB,WiFi Only,Black,,,,,,
Mini WiFi Only 16GB White,3100,Flawless,FALSE,TRUE,iPad,Mini,1,,16GB,WiFi Only,White,,,,,,
Mini WiFi Only 16GB Black,3000,Flawless,FALSE,TRUE,iPad,Mini,1,,16GB,WiFi Only,Black,,,,,,

Galaxy Note II - Unlocked - 32GB White,7000,Flawless,FALSE,TRUE,Galaxy,Note II,1,,32GB,Factory Unlocked,White,,,,,,
Galaxy Note II - Unlocked - 16GB White,6800,Flawless,FALSE,TRUE,Galaxy,Note II,1,,16GB,Factory Unlocked,White,,,,,,
Galaxy Note II - Sprint - 16GB White,4500,Flawless,FALSE,TRUE,Galaxy,Note II,1,,16GB,Sprint,White,,,,,,
Galaxy Note II - T-Mobile - 16GB White,4500,Flawless,FALSE,TRUE,Galaxy,Note II,1,,16GB,T-Mobile,White,,,,,,
Galaxy Note II AT&T 16GB White,4500,Flawless,FALSE,TRUE,Galaxy,Note II,1,,16GB,AT&T,White,,,,,,
Galaxy Note II - T-Mobile - 16GB White,4500,Flawless,FALSE,TRUE,Galaxy,Note II,1,,16GB,T-Mobile,White,,,,,,

Galaxy S3 Unlocked - 32GB Black,5500,Flawless,FALSE,TRUE,Galaxy,S III,1,,32GB,Factory Unlocked,Black,,,,,,
Galaxy S3 Unlocked - 32GB White,5700,Flawless,FALSE,TRUE,Galaxy,S III,1,,32GB,Factory Unlocked,Brown,,,,,,
Galaxy S3 Unlocked - 32GB Red,5700,Flawless,FALSE,TRUE,Galaxy,S III,1,,32GB,Factory Unlocked,Red,,,,,,
Galaxy S3 Unlocked - 16GB  White,5000,Flawless,FALSE,TRUE,Galaxy,S III,1,,16GB,Factory Unlocked,White,,,,,,
Galaxy S3 Unlocked - 16GB  Black,4800,Flawless,FALSE,TRUE,Galaxy,S III,1,,16GB,Factory Unlocked,Black,,,,,,
Galaxy S3 Unlocked - 16GB  Red,5000,Flawless,FALSE,TRUE,Galaxy,S III,1,,16GB,Factory Unlocked,Red,,,,,,
Galaxy S3 Sprint - 32GB White,4300,Flawless,FALSE,TRUE,Galaxy,S III,1,,32GB,Sprint,White,,,,,,
Galaxy S3 Sprint - 32GB Black,4000,Flawless,FALSE,TRUE,Galaxy,S III,1,,32GB,Sprint,Black,,,,,,
Galaxy S3 Sprint - 32GB Red,4300,Flawless,FALSE,TRUE,Galaxy,S III,1,,32GB,Sprint,Red,,,,,,
Galaxy S3 Sprint - 16GB White,3800,Flawless,FALSE,TRUE,Galaxy,S III,1,,16GB,Sprint,White,,,,,,
Galaxy S3 Sprint - 16GB Black,3600,Flawless,FALSE,TRUE,Galaxy,S III,1,,16GB,Sprint,Black,,,,,,
Galaxy S3 Sprint - 16GB Red,3800,Flawless,FALSE,TRUE,Galaxy,S III,1,,16GB,Sprint,Red,,,,,,
Galaxy S3 T-Mobile - 32GB White,4200,Flawless,FALSE,TRUE,Galaxy,S III,1,,32GB,T-Mobile,White,,,,,,
Galaxy S3 T-Mobile - 32GB Black,4000,Flawless,FALSE,TRUE,Galaxy,S III,1,,32GB,T-Mobile,Black,,,,,,
Galaxy S3 T-Mobile - 32GB Red,4000,Flawless,FALSE,TRUE,Galaxy,S III,1,,32GB,T-Mobile,Red,,,,,,
Galaxy S3 T-Mobile - 16GB White,3700,Flawless,FALSE,TRUE,Galaxy,S III,1,,16GB,T-Mobile,White,,,,,,
Galaxy S3 T-Mobile - 16GB Black,3500,Flawless,FALSE,TRUE,Galaxy,S III,1,,16GB,T-Mobile,Black,,,,,,
Galaxy S3 T-Mobile - 16GB Red,3700,Flawless,FALSE,TRUE,Galaxy,S III,1,,16GB,T-Mobile,Red,,,,,,
Galaxy S3 AT&T - 32GB White,4400,Flawless,FALSE,TRUE,Galaxy,S III,1,,32GB,AT&T,White,,,,,,
Galaxy S3 AT&T - 32GB Black,4000,Flawless,FALSE,TRUE,Galaxy,S III,1,,32GB,AT&T,Black,,,,,,
Galaxy S3 AT&T - 32GB Red,4400,Flawless,FALSE,TRUE,Galaxy,S III,1,,32GB,AT&T,Red,,,,,,
Galaxy S3 AT&T - 16GB White,3800,Flawless,FALSE,TRUE,Galaxy,S III,1,,16GB,AT&T,White,,,,,,
Galaxy S3 AT&T - 16GB Black,3600,Flawless,FALSE,TRUE,Galaxy,S III,1,,16GB,AT&T,Black,,,,,,
Galaxy S3 AT&T - 16GB Red,3800,Flawless,FALSE,TRUE,Galaxy,S III,1,,16GB,AT&T,Red,,,,,,



All items for selling

Macbook Air (Flawless),300,Flawless,TRUE,FALSE,Macbook,Macbook Air,1,2012,,,,,,,,,
Macbook Air (Good),300,Flawless,TRUE,FALSE,Macbook,Macbook Air,1,2012,,,,,,,,,
Macbook Air (Poor),300,Flawless,TRUE,FALSE,Macbook,Macbook Air,1,2012,,,,,,,,,
Macbook Air (Flawless),300,Flawless,TRUE,FALSE,Macbook,Macbook Air,1,2011,,,,,,,,,
Macbook Air (Good),300,Flawless,TRUE,FALSE,Macbook,Macbook Air,1,2011,,,,,,,,,
Macbook Air (Poor),300,Flawless,TRUE,FALSE,Macbook,Macbook Air,1,2011,,,,,,,,,
Macbook Air (Flawless),300,Flawless,TRUE,FALSE,Macbook,Macbook Air,1,2010,,,,,,,,,
Macbook Air (Good),300,Flawless,TRUE,FALSE,Macbook,Macbook Air,1,2010,,,,,,,,,
Macbook Air (Poor),300,Flawless,TRUE,FALSE,Macbook,Macbook Air,1,2010,,,,,,,,,
Macbook Pro  (Flawless),300,Flawless,TRUE,FALSE,Macbook,Macbook Pro,1,2012,,,,,,,,,
Macbook Pro  (Good),300,Flawless,TRUE,FALSE,Macbook,Macbook Pro,1,2012,,,,,,,,,
Macbook Pro  (Poor),300,Flawless,TRUE,FALSE,Macbook,Macbook Pro,1,2012,,,,,,,,,
Macbook Pro  (Flawless),300,Flawless,TRUE,FALSE,Macbook,Macbook Pro,1,2011,,,,,,,,,
Macbook Pro  (Good),300,Flawless,TRUE,FALSE,Macbook,Macbook Pro,1,2011,,,,,,,,,
Macbook Pro  (Poor),300,Flawless,TRUE,FALSE,Macbook,Macbook Pro,1,2011,,,,,,,,,
Macbook Pro  (Flawless),300,Flawless,TRUE,FALSE,Macbook,Macbook Pro,1,2010,,,,,,,,,
Macbook Pro  (Good),300,Flawless,TRUE,FALSE,Macbook,Macbook Pro,1,2010,,,,,,,,,
Macbook Pro  (Poor),300,Flawless,TRUE,FALSE,Macbook,Macbook Pro,1,2010,,,,,,,,,

iPod Classic 7 - 160GB (Flawless),1500,Flawless,TRUE,FALSE,iPod,Classic,1,,160GB,,,7,,,,,
iPod Classic 7 - 160GB (Good),1300,Good,TRUE,FALSE,iPod,Classic,1,,160GB,,,7,,,,,
iPod Classic 7 - 160GB (Poor),1000,Poor,TRUE,FALSE,iPod,Classic,1,,160GB,,,7,,,,,
iPod Classic 6 - 160GB (Flawless),1000,Flawless,TRUE,FALSE,iPod,Classic,1,,160GB,,,6,,,,,
iPod Classic 6 - 160GB (Good),800,Good,TRUE,FALSE,iPod,Classic,1,,160GB,,,6,,,,,
iPod Classic 6 - 160GB (Poor),600,Poor,TRUE,FALSE,iPod,Classic,1,,160GB,,,6,,,,,
iPod Classic 6 - 120GB (Flawless),800,Flawless,TRUE,FALSE,iPod,Classic,1,,120GB,,,6,,,,,
iPod Classic 6 - 120GB (Good),600,Good,TRUE,FALSE,iPod,Classic,1,,120GB,,,6,,,,,
iPod Classic 6 - 120GB (Poor),500,Poor,TRUE,FALSE,iPod,Classic,1,,120GB,,,6,,,,,
iPod Classic 6 - 80GB (Flawless),700,Flawless,TRUE,FALSE,iPod,Classic,1,,80GB,,,6,,,,,
iPod Classic 6 - 80GB (Good),500,Good,TRUE,FALSE,iPod,Classic,1,,80GB,,,6,,,,,
iPod Classic 6 - 80GB (Poor),400,Poor,TRUE,FALSE,iPod,Classic,1,,80GB,,,6,,,,,
iPod Classic 5 - 80GB (Flawless),600,Flawless,TRUE,FALSE,iPod,Classic,1,,80GB,,,5,,,,,
iPod Classic 5 - 80GB (Good),450,Good,TRUE,FALSE,iPod,Classic,1,,80GB,,,5,,,,,
iPod Classic 5 - 80GB (Poor),350,Poor,TRUE,FALSE,iPod,Classic,1,,80GB,,,5,,,,,
iPod Classic 5 - 60GB (Flawless),500,Flawless,TRUE,FALSE,iPod,Classic,1,,60GB,,,5,,,,,
iPod Classic 5 - 60GB (Good),400,Good,TRUE,FALSE,iPod,Classic,1,,60GB,,,5,,,,,
iPod Classic 5 - 60GB (Poor),300,Poor,TRUE,FALSE,iPod,Classic,1,,60GB,,,5,,,,,
iPod Classic 5 - 30GB (Flawless),400,Flawless,TRUE,FALSE,iPod,Classic,1,,30GB,,,5,,,,,
iPod Classic 5 - 30GB (Good),280,Good,TRUE,FALSE,iPod,Classic,1,,30GB,,,5,,,,,
iPod Classic 5 - 30GB (Poor),250,Poor,TRUE,FALSE,iPod,Classic,1,,30GB,,,5,,,,,
iPod Nano 7 - 16GB (Flawless),1200,Flawless,TRUE,FALSE,iPod,Nano,1,,16GB,,,7,,,,,
iPod Nano 7 - 16GB (Good),1000,Good,TRUE,FALSE,iPod,Nano,1,,16GB,,,7,,,,,
iPod Nano 7 - 16GB (Poor),900,Poor,TRUE,FALSE,iPod,Nano,1,,16GB,,,7,,,,,
iPod Nano 6 - 16GB (Flawless),1000,Flawless,TRUE,FALSE,iPod,Nano,1,,16GB,,,6,,,,,
iPod Nano 6 - 16GB (Good),900,Good,TRUE,FALSE,iPod,Nano,1,,16GB,,,6,,,,,
iPod Nano 6 - 16GB (Poor),500,Poor,TRUE,FALSE,iPod,Nano,1,,16GB,,,6,,,,,
iPod Nano 6 - 8GB (Flawless),700,Flawless,TRUE,FALSE,iPod,Nano,1,,8GB,,,6,,,,,
iPod Nano 6 - 8GB (Good),500,Good,TRUE,FALSE,iPod,Nano,1,,8GB,,,6,,,,,
iPod Nano 6 - 8GB (Poor),200,Poor,TRUE,FALSE,iPod,Nano,1,,8GB,,,6,,,,,
iPod Nano 5 - 16GB (Flawless),600,Flawless,TRUE,FALSE,iPod,Nano,1,,16GB,,,5,,,,,
iPod Nano 5 - 16GB (Good),400,Good,TRUE,FALSE,iPod,Nano,1,,16GB,,,5,,,,,
iPod Nano 5 - 16GB (Poor),190,Poor,TRUE,FALSE,iPod,Nano,1,,16GB,,,5,,,,,
iPod Nano 5 - 8GB (Flawless),500,Flawless,TRUE,FALSE,iPod,Nano,1,,8GB,,,5,,,,,
iPod Nano 5 - 8GB (Good),350,Good,TRUE,FALSE,iPod,Nano,1,,8GB,,,5,,,,,
iPod Nano 5 - 8GB (Poor),180,Poor,TRUE,FALSE,iPod,Nano,1,,8GB,,,5,,,,,
iPod Touch 5 - 64GB (Flawless),3500,Flawless,TRUE,FALSE,iPod,Touch,1,,64GB,,,5,,,,,
iPod Touch 5 - 64GB (Good),3300,Good,TRUE,FALSE,iPod,Touch,1,,64GB,,,5,,,,,
iPod Touch 5 - 64GB (Poor),1500,Poor,TRUE,FALSE,iPod,Touch,1,,64GB,,,5,,,,,
iPod Touch 5 - 32GB (Flawless),2700,Flawless,TRUE,FALSE,iPod,Touch,1,,32GB,,,5,,,,,
iPod Touch 5 - 32GB (Good),2500,Good,TRUE,FALSE,iPod,Touch,1,,32GB,,,5,,,,,
iPod Touch 5 - 32GB (Poor),1350,Poor,TRUE,FALSE,iPod,Touch,1,,32GB,,,5,,,,,
iPod Touch 4 - 64GB (Flawless),2500,Flawless,TRUE,FALSE,iPod,Touch,1,,64GB,,,4,,,,,
iPod Touch 4 - 64GB (Good),2300,Good,TRUE,FALSE,iPod,Touch,1,,64GB,,,4,,,,,
iPod Touch 4 - 64GB (Poor),1200,Poor,TRUE,FALSE,iPod,Touch,1,,64GB,,,4,,,,,
iPod Touch 4 - 32GB (Flawless),1900,Flawless,TRUE,FALSE,iPod,Touch,1,,32GB,,,4,,,,,
iPod Touch 4 - 32GB (Good),1500,Good,TRUE,FALSE,iPod,Touch,1,,32GB,,,4,,,,,
iPod Touch 4 - 32GB (Poor),700,Poor,TRUE,FALSE,iPod,Touch,1,,32GB,,,4,,,,,
iPod Touch 4 - 8GB (Flawless),1000,Flawless,TRUE,FALSE,iPod,Touch,1,,8GB,,,4,,,,,
iPod Touch 4 - 8GB (Good),800,Good,TRUE,FALSE,iPod,Touch,1,,8GB,,,4,,,,,
